Date;Indicator;Province;Destination;value
2021-March;Tourists Number (Overnight Visitors);Albaha province;Al Bahah;31.0
2023-May;Tourists Number (Overnight Visitors);Albaha province;Al Bahah;1188.0
2023-October;Tourists Number (Overnight Visitors);Albaha province;Al Bahah;1703.0
2022-November;Tourists Number (Overnight Visitors);Albaha province;Al Bahah;123.14679255048655
2023-November;Tourists Number (Overnight Visitors);Albaha province;Al Bahah;415.0
year-February;Tourists Number (Overnight Visitors);Albaha province;BILJURASHI;
year-November;Tourists Number (Overnight Visitors);Albaha province;BILJURASHI;
year-April;Tourists Number (Overnight Visitors);Albaha province;Other AlBaha;
2023-January;Tourists Number (Overnight Visitors);AlQassim Province;Buraydah;4158.0
2021-March;Tourists Number (Overnight Visitors);AlQassim Province;Buraydah;21503.0
2022-April;Tourists Number (Overnight Visitors);AlQassim Province;Buraydah;2411.0
2021-July;Tourists Number (Overnight Visitors);AlQassim Province;Buraydah;437.0
2022-July;Tourists Number (Overnight Visitors);AlQassim Province;Buraydah;1137.0
2023-September;Tourists Number (Overnight Visitors);AlQassim Province;Buraydah;13490.0
2023-October;Tourists Number (Overnight Visitors);AlQassim Province;Buraydah;3163.0
2023-March;Tourists Number (Overnight Visitors);AlQassim Province;Rass;259.0
2021-June;Tourists Number (Overnight Visitors);AlQassim Province;Rass;232.0
2023-September;Tourists Number (Overnight Visitors);AlQassim Province;Rass;320.0
2023-March;Tourists Number (Overnight Visitors);AlQassim Province;Unayzah;7443.0
2021-May;Tourists Number (Overnight Visitors);AlQassim Province;Unayzah;266.0
2022-June;Tourists Number (Overnight Visitors);AlQassim Province;Unayzah;743.0
2021-August;Tourists Number (Overnight Visitors);AlQassim Province;Unayzah;1068.0
2022-August;Tourists Number (Overnight Visitors);AlQassim Province;Unayzah;4254.0
2023-August;Tourists Number (Overnight Visitors);AlQassim Province;Unayzah;232.0
2022-September;Tourists Number (Overnight Visitors);AlQassim Province;Unayzah;401.0
2021-December;Tourists Number (Overnight Visitors);AlQassim Province;Unayzah;946.0
2022-January;Tourists Number (Overnight Visitors);AlQassim Province;Other AlQassim;0.0
2022-February;Tourists Number (Overnight Visitors);AlQassim Province;Other AlQassim;0.0
2023-May;Tourists Number (Overnight Visitors);AlQassim Province;Other AlQassim;0.0
2021-June;Tourists Number (Overnight Visitors);AlQassim Province;Other AlQassim;33.0
2022-June;Tourists Number (Overnight Visitors);AlQassim Province;Other AlQassim;141.0
2023-August;Tourists Number (Overnight Visitors);AlQassim Province;Other AlQassim;6.0
2023-December;Tourists Number (Overnight Visitors);AlQassim Province;Other AlQassim;562.0
2023-January;Tourists Number (Overnight Visitors);Aseer Province;Abha;4206.0
2022-February;Tourists Number (Overnight Visitors);Aseer Province;Abha;4.0
2021-March;Tourists Number (Overnight Visitors);Aseer Province;Abha;624.0
2021-April;Tourists Number (Overnight Visitors);Aseer Province;Abha;580.0
2021-June;Tourists Number (Overnight Visitors);Aseer Province;Abha;7.0
2021-December;Tourists Number (Overnight Visitors);Aseer Province;Abha;7309.0
2022-May;Tourists Number (Overnight Visitors);Aseer Province;Khamis Mushait;130.0
2022-July;Tourists Number (Overnight Visitors);Aseer Province;Khamis Mushait;120.0
2023-July;Tourists Number (Overnight Visitors);Aseer Province;Khamis Mushait;2616.0
2022-August;Tourists Number (Overnight Visitors);Aseer Province;Khamis Mushait;34.0
2023-August;Tourists Number (Overnight Visitors);Aseer Province;Khamis Mushait;3119.0
2021-September;Tourists Number (Overnight Visitors);Aseer Province;Khamis Mushait;92.0
2022-December;Tourists Number (Overnight Visitors);Aseer Province;Khamis Mushait;14573.0
2022-January;Tourists Number (Overnight Visitors);Aseer Province;Other Aseer;1.0
2023-January;Tourists Number (Overnight Visitors);Aseer Province;Other Aseer;5556.0
2023-May;Tourists Number (Overnight Visitors);Aseer Province;Other Aseer;2419.0
2022-July;Tourists Number (Overnight Visitors);Aseer Province;Other Aseer;0.0
2021-August;Tourists Number (Overnight Visitors);Aseer Province;Other Aseer;129.0
2022-November;Tourists Number (Overnight Visitors);Aseer Province;Other Aseer;2680.0
2021-December;Tourists Number (Overnight Visitors);Aseer Province;Other Aseer;240.0
2023-August;Tourists Number (Overnight Visitors);Eastern Province;Al Ahsa;111251.0
2023-October;Tourists Number (Overnight Visitors);Eastern Province;Al Ahsa;66593.0
2023-January;Tourists Number (Overnight Visitors);Eastern Province;Al Khobar;164123.0
2021-February;Tourists Number (Overnight Visitors);Eastern Province;Al Khobar;18421.0
2023-February;Tourists Number (Overnight Visitors);Eastern Province;Al Khobar;133745.0
2023-March;Tourists Number (Overnight Visitors);Eastern Province;Al Khobar;112353.0
2023-April;Tourists Number (Overnight Visitors);Eastern Province;Al Khobar;119328.0
2021-May;Tourists Number (Overnight Visitors);Eastern Province;Al Khobar;7792.0
2022-August;Tourists Number (Overnight Visitors);Eastern Province;Al Khobar;59375.0
2023-August;Tourists Number (Overnight Visitors);Eastern Province;Al Khobar;124113.0
2021-September;Tourists Number (Overnight Visitors);Eastern Province;Al Khobar;53616.0
2022-November;Tourists Number (Overnight Visitors);Eastern Province;Al Khobar;123987.0
2023-December;Tourists Number (Overnight Visitors);Eastern Province;Al Khobar;111505.0
2021-January;Tourists Number (Overnight Visitors);Eastern Province;Dammam;23707.0
2022-June;Tourists Number (Overnight Visitors);Eastern Province;Dammam;65538.0
2021-July;Tourists Number (Overnight Visitors);Eastern Province;Dammam;42719.0
2022-August;Tourists Number (Overnight Visitors);Eastern Province;Dammam;127327.0
2023-September;Tourists Number (Overnight Visitors);Eastern Province;Dammam;95495.0
2021-May;Tourists Number (Overnight Visitors);Eastern Province;Other Eastern;9725.0
2021-July;Tourists Number (Overnight Visitors);Eastern Province;Other Eastern;16029.0
2023-November;Tourists Number (Overnight Visitors);Eastern Province;Other Eastern;106325.0
2021-December;Tourists Number (Overnight Visitors);Eastern Province;Other Eastern;66036.0
2022-December;Tourists Number (Overnight Visitors);Eastern Province;Other Eastern;91592.0
2023-December;Tourists Number (Overnight Visitors);Eastern Province;Other Eastern;119771.0
2023-January;Tourists Number (Overnight Visitors);Hail Province;Hail;28913.0
2023-February;Tourists Number (Overnight Visitors);Hail Province;Hail;27920.0
2021-March;Tourists Number (Overnight Visitors);Hail Province;Hail;1013.0
2023-March;Tourists Number (Overnight Visitors);Hail Province;Hail;51614.0
2023-May;Tourists Number (Overnight Visitors);Hail Province;Hail;49748.0
2023-June;Tourists Number (Overnight Visitors);Hail Province;Hail;20201.0
2023-September;Tourists Number (Overnight Visitors);Hail Province;Hail;29867.0
2021-November;Tourists Number (Overnight Visitors);Hail Province;Hail;16837.0
2022-December;Tourists Number (Overnight Visitors);Hail Province;Hail;63999.0
year-May;Tourists Number (Overnight Visitors);Hail Province;Other Hail;
year-July;Tourists Number (Overnight Visitors);Hail Province;Other Hail;
2022-February;Tourists Number (Overnight Visitors);Jazan Province;Jazan;5947.0
2023-February;Tourists Number (Overnight Visitors);Jazan Province;Jazan;2494.0
2021-April;Tourists Number (Overnight Visitors);Jazan Province;Jazan;423.0
2023-May;Tourists Number (Overnight Visitors);Jazan Province;Jazan;1061.0
2022-October;Tourists Number (Overnight Visitors);Jazan Province;Jazan;278.0
2023-October;Tourists Number (Overnight Visitors);Jazan Province;Jazan;22.0
2023-February;Tourists Number (Overnight Visitors);Jazan Province;Other Jazan;1748.0
2021-March;Tourists Number (Overnight Visitors);Jazan Province;Other Jazan;1343.0
2021-July;Tourists Number (Overnight Visitors);Jazan Province;Other Jazan;80.0
2022-September;Tourists Number (Overnight Visitors);Jazan Province;Other Jazan;0.0
2021-December;Tourists Number (Overnight Visitors);Jazan Province;Other Jazan;143.0
2021-January;Tourists Number (Overnight Visitors);Jouf Province;Al Qurayyat;1285.0
2021-February;Tourists Number (Overnight Visitors);Jouf Province;Al Qurayyat;234.0
2022-February;Tourists Number (Overnight Visitors);Jouf Province;Al Qurayyat;861.0
2021-March;Tourists Number (Overnight Visitors);Jouf Province;Al Qurayyat;107.0
2023-May;Tourists Number (Overnight Visitors);Jouf Province;Al Qurayyat;11522.0
2021-July;Tourists Number (Overnight Visitors);Jouf Province;Al Qurayyat;333.0
2023-July;Tourists Number (Overnight Visitors);Jouf Province;Al Qurayyat;6519.0
2021-August;Tourists Number (Overnight Visitors);Jouf Province;Al Qurayyat;243.0
2022-November;Tourists Number (Overnight Visitors);Jouf Province;Al Qurayyat;3130.0
2023-February;Tourists Number (Overnight Visitors);Jouf Province;Sakaka;4152.0
2021-July;Tourists Number (Overnight Visitors);Jouf Province;Sakaka;1760.0
2021-August;Tourists Number (Overnight Visitors);Jouf Province;Sakaka;2116.0
2022-October;Tourists Number (Overnight Visitors);Jouf Province;Sakaka;2138.0
2022-November;Tourists Number (Overnight Visitors);Jouf Province;Sakaka;3001.0
2021-December;Tourists Number (Overnight Visitors);Jouf Province;Sakaka;627.0
year-March;Tourists Number (Overnight Visitors);Jouf Province;Other Jouf;
2023-May;Tourists Number (Overnight Visitors);Jouf Province;Other Jouf;91.0
2022-November;Tourists Number (Overnight Visitors);Jouf Province;Other Jouf;352.0
2022-December;Tourists Number (Overnight Visitors);Jouf Province;Other Jouf;1.0
2021-July;Tourists Number (Overnight Visitors);Madinah Province;Al Ula;144.0
2021-September;Tourists Number (Overnight Visitors);Madinah Province;Al Ula;109.0
2021-November;Tourists Number (Overnight Visitors);Madinah Province;Al Ula;3769.0
2022-November;Tourists Number (Overnight Visitors);Madinah Province;Al Ula;2984.0
2021-December;Tourists Number (Overnight Visitors);Madinah Province;Al Ula;2639.0
2021-February;Tourists Number (Overnight Visitors);Madinah Province;Madinah;168.0
2023-February;Tourists Number (Overnight Visitors);Madinah Province;Madinah;11908.0
2021-July;Tourists Number (Overnight Visitors);Madinah Province;Madinah;1417.0
2022-July;Tourists Number (Overnight Visitors);Madinah Province;Madinah;3790.0
2022-August;Tourists Number (Overnight Visitors);Madinah Province;Madinah;3656.0
2022-September;Tourists Number (Overnight Visitors);Madinah Province;Madinah;4610.0
2021-October;Tourists Number (Overnight Visitors);Madinah Province;Madinah;4615.0
2022-October;Tourists Number (Overnight Visitors);Madinah Province;Madinah;7463.0
2021-November;Tourists Number (Overnight Visitors);Madinah Province;Madinah;1398.0
year-May;Tourists Number (Overnight Visitors);Madinah Province;Yanbu;
2022-December;Tourists Number (Overnight Visitors);Madinah Province;Yanbu;7.0
2023-January;Tourists Number (Overnight Visitors);Madinah Province;Other Madinah;406.0
2023-February;Tourists Number (Overnight Visitors);Madinah Province;Other Madinah;0.0
2023-April;Tourists Number (Overnight Visitors);Madinah Province;Other Madinah;239.0
2023-May;Tourists Number (Overnight Visitors);Madinah Province;Other Madinah;0.0
2021-July;Tourists Number (Overnight Visitors);Madinah Province;Other Madinah;64.0
2021-October;Tourists Number (Overnight Visitors);Madinah Province;Other Madinah;21.0
2023-January;Tourists Number (Overnight Visitors);Makkah Province;Jeddah;148324.0
2022-April;Tourists Number (Overnight Visitors);Makkah Province;Jeddah;184950.0
2023-September;Tourists Number (Overnight Visitors);Makkah Province;Jeddah;79964.0
2021-November;Tourists Number (Overnight Visitors);Makkah Province;Jeddah;67684.0
2021-January;Tourists Number (Overnight Visitors);Makkah Province;Makkah;3403.0
2023-May;Tourists Number (Overnight Visitors);Makkah Province;Makkah;632895.0
2023-July;Tourists Number (Overnight Visitors);Makkah Province;Makkah;360971.0
2022-November;Tourists Number (Overnight Visitors);Makkah Province;Makkah;1065204.0
year-January;Tourists Number (Overnight Visitors);Makkah Province;Rabigh;
2021-July;Tourists Number (Overnight Visitors);Makkah Province;Rabigh;62.0
year-August;Tourists Number (Overnight Visitors);Makkah Province;Rabigh;
2023-July;Tourists Number (Overnight Visitors);Makkah Province;Taif;8037.0
2022-September;Tourists Number (Overnight Visitors);Makkah Province;Taif;3646.0
2021-October;Tourists Number (Overnight Visitors);Makkah Province;Taif;364.0
2023-October;Tourists Number (Overnight Visitors);Makkah Province;Taif;3568.0
2021-November;Tourists Number (Overnight Visitors);Makkah Province;Taif;168.0
2023-February;Tourists Number (Overnight Visitors);Makkah Province;Other Makkah;0.0
2023-March;Tourists Number (Overnight Visitors);Makkah Province;Other Makkah;423.0
2023-May;Tourists Number (Overnight Visitors);Makkah Province;Other Makkah;0.0
2022-July;Tourists Number (Overnight Visitors);Makkah Province;Other Makkah;132.0
2022-August;Tourists Number (Overnight Visitors);Makkah Province;Other Makkah;0.0
2023-August;Tourists Number (Overnight Visitors);Makkah Province;Other Makkah;0.0
2023-September;Tourists Number (Overnight Visitors);Makkah Province;Other Makkah;0.0
2021-October;Tourists Number (Overnight Visitors);Makkah Province;Other Makkah;212.0
2022-May;Tourists Number (Overnight Visitors);Najran Province;Najran;1.0
2021-June;Tourists Number (Overnight Visitors);Najran Province;Najran;104.0
2021-July;Tourists Number (Overnight Visitors);Najran Province;Najran;80.0
2023-July;Tourists Number (Overnight Visitors);Najran Province;Najran;3331.0
2022-November;Tourists Number (Overnight Visitors);Najran Province;Najran;611.0
2021-December;Tourists Number (Overnight Visitors);Najran Province;Najran;1861.0
2023-June;Tourists Number (Overnight Visitors);Najran Province;Other Najran;0.0
2021-January;Tourists Number (Overnight Visitors);Northern Borders Province;Arar;1459.0
2022-January;Tourists Number (Overnight Visitors);Northern Borders Province;Arar;10534.0
2021-March;Tourists Number (Overnight Visitors);Northern Borders Province;Arar;1337.0
2021-July;Tourists Number (Overnight Visitors);Northern Borders Province;Arar;16151.0
2022-July;Tourists Number (Overnight Visitors);Northern Borders Province;Arar;93019.0
2023-September;Tourists Number (Overnight Visitors);Northern Borders Province;Arar;15064.0
2021-October;Tourists Number (Overnight Visitors);Northern Borders Province;Arar;12033.0
2021-January;Tourists Number (Overnight Visitors);Northern Borders Province;Other Northern Borders;850.0
2022-February;Tourists Number (Overnight Visitors);Northern Borders Province;Other Northern Borders;7613.0
2022-March;Tourists Number (Overnight Visitors);Northern Borders Province;Other Northern Borders;25337.0
2023-May;Tourists Number (Overnight Visitors);Northern Borders Province;Other Northern Borders;12607.0
2023-July;Tourists Number (Overnight Visitors);Northern Borders Province;Other Northern Borders;14226.0
2022-November;Tourists Number (Overnight Visitors);Northern Borders Province;Other Northern Borders;5513.0
2021-February;Tourists Number (Overnight Visitors);Riyadh Province;Riyadh;48859.0
2021-April;Tourists Number (Overnight Visitors);Riyadh Province;Riyadh;70664.0
2022-April;Tourists Number (Overnight Visitors);Riyadh Province;Riyadh;134086.0
2022-May;Tourists Number (Overnight Visitors);Riyadh Province;Riyadh;112981.0
2023-May;Tourists Number (Overnight Visitors);Riyadh Province;Riyadh;273006.0
2021-June;Tourists Number (Overnight Visitors);Riyadh Province;Riyadh;72069.0
2023-July;Tourists Number (Overnight Visitors);Riyadh Province;Riyadh;195450.0
2023-August;Tourists Number (Overnight Visitors);Riyadh Province;Riyadh;225440.0
2022-September;Tourists Number (Overnight Visitors);Riyadh Province;Riyadh;158077.0
2022-December;Tourists Number (Overnight Visitors);Riyadh Province;Riyadh;238363.0
2021-March;Tourists Number (Overnight Visitors);Riyadh Province;Other Riyadh;153.0
2023-March;Tourists Number (Overnight Visitors);Riyadh Province;Other Riyadh;24981.0
2021-April;Tourists Number (Overnight Visitors);Riyadh Province;Other Riyadh;223.0
2022-April;Tourists Number (Overnight Visitors);Riyadh Province;Other Riyadh;2855.0
2023-April;Tourists Number (Overnight Visitors);Riyadh Province;Other Riyadh;15065.0
2023-May;Tourists Number (Overnight Visitors);Riyadh Province;Other Riyadh;10948.0
2022-June;Tourists Number (Overnight Visitors);Riyadh Province;Other Riyadh;11516.0
2021-September;Tourists Number (Overnight Visitors);Riyadh Province;Other Riyadh;2127.0
2021-October;Tourists Number (Overnight Visitors);Riyadh Province;Other Riyadh;7995.0
2023-October;Tourists Number (Overnight Visitors);Riyadh Province;Other Riyadh;15997.0
2023-February;Tourists Number (Overnight Visitors);Tabuk Province;Al Wajh;998.0
year-March;Tourists Number (Overnight Visitors);Tabuk Province;Al Wajh;
2023-May;Tourists Number (Overnight Visitors);Tabuk Province;Al Wajh;302.0
year-June;Tourists Number (Overnight Visitors);Tabuk Province;Al Wajh;
year-September;Tourists Number (Overnight Visitors);Tabuk Province;Al Wajh;
2022-November;Tourists Number (Overnight Visitors);Tabuk Province;Al Wajh;493.0
year-December;Tourists Number (Overnight Visitors);Tabuk Province;Al Wajh;
2023-January;Tourists Number (Overnight Visitors);Tabuk Province;Duba;679.0
2023-February;Tourists Number (Overnight Visitors);Tabuk Province;Duba;2208.0
2023-March;Tourists Number (Overnight Visitors);Tabuk Province;Duba;1516.0
2023-June;Tourists Number (Overnight Visitors);Tabuk Province;Duba;947.0
2022-October;Tourists Number (Overnight Visitors);Tabuk Province;Duba;275.0
2022-December;Tourists Number (Overnight Visitors);Tabuk Province;Duba;820.0
2022-January;Tourists Number (Overnight Visitors);Tabuk Province;Tabuk;3967.0
2021-February;Tourists Number (Overnight Visitors);Tabuk Province;Tabuk;214.0
2023-April;Tourists Number (Overnight Visitors);Tabuk Province;Tabuk;3002.0
2021-May;Tourists Number (Overnight Visitors);Tabuk Province;Tabuk;733.0
2023-May;Tourists Number (Overnight Visitors);Tabuk Province;Tabuk;8401.0
2021-July;Tourists Number (Overnight Visitors);Tabuk Province;Tabuk;1663.0
2021-August;Tourists Number (Overnight Visitors);Tabuk Province;Tabuk;2528.0
2022-September;Tourists Number (Overnight Visitors);Tabuk Province;Tabuk;17042.0
2023-September;Tourists Number (Overnight Visitors);Tabuk Province;Tabuk;5945.0
2021-December;Tourists Number (Overnight Visitors);Tabuk Province;Tabuk;494.0
2023-September;Tourists Number (Overnight Visitors);Tabuk Province;Umluj;1114.0
2021-July;Tourists Number (Overnight Visitors);Tabuk Province;Other Tabuk;24.0
2022-January;Tourists Number (Overnight Visitors);Total;Total;548936.0
2022-July;Tourists Number (Overnight Visitors);Total;Total;1765626.0
2023-July;Tourists Number (Overnight Visitors);Total;Total;1349770.0
2021-August;Tourists Number (Overnight Visitors);Total;Total;257364.0
2022-September;Tourists Number (Overnight Visitors);Total;Total;1538977.0
2021-October;Tourists Number (Overnight Visitors);Total;Total;452985.0
2023-October;Tourists Number (Overnight Visitors);Total;Total;2191039.0
2021-December;Tourists Number (Overnight Visitors);Total;Total;691418.0
2022-March;Tourists Spending (SAR);Albaha province;Al Bahah;40222.359681579575
2022-June;Tourists Spending (SAR);Albaha province;Al Bahah;134892.78076981255
2021-December;Tourists Spending (SAR);Albaha province;Al Bahah;124617.58
2023-December;Tourists Spending (SAR);Albaha province;Al Bahah;3456.77
year-January;Tourists Spending (SAR);Albaha province;BILJURASHI;
year-October;Tourists Spending (SAR);Albaha province;BILJURASHI;
2021-January;Tourists Spending (SAR);Albaha province;Other AlBaha;22551.98
year-February;Tourists Spending (SAR);Albaha province;Other AlBaha;
2021-January;Tourists Spending (SAR);AlQassim Province;Buraydah;628522.1
2022-January;Tourists Spending (SAR);AlQassim Province;Buraydah;52108902.78
2023-March;Tourists Spending (SAR);AlQassim Province;Buraydah;25805066.3
2021-April;Tourists Spending (SAR);AlQassim Province;Buraydah;2749792.93
2022-July;Tourists Spending (SAR);AlQassim Province;Buraydah;1749826.4
2022-August;Tourists Spending (SAR);AlQassim Province;Buraydah;8639459.41
2023-October;Tourists Spending (SAR);AlQassim Province;Buraydah;5754816.13
2022-January;Tourists Spending (SAR);AlQassim Province;Rass;481778.89
2021-May;Tourists Spending (SAR);AlQassim Province;Rass;1576857.38
2022-October;Tourists Spending (SAR);AlQassim Province;Rass;575736.44
2021-November;Tourists Spending (SAR);AlQassim Province;Rass;96043.78
2022-November;Tourists Spending (SAR);AlQassim Province;Rass;71818078.96
2022-January;Tourists Spending (SAR);AlQassim Province;Unayzah;2852397.64
2023-February;Tourists Spending (SAR);AlQassim Province;Unayzah;7409472.92
2023-March;Tourists Spending (SAR);AlQassim Province;Unayzah;30422191.28
2023-April;Tourists Spending (SAR);AlQassim Province;Unayzah;2440758.84
2023-May;Tourists Spending (SAR);AlQassim Province;Unayzah;5770869.0
2022-June;Tourists Spending (SAR);AlQassim Province;Unayzah;1722910.09
2023-July;Tourists Spending (SAR);AlQassim Province;Unayzah;14697432.13
2021-October;Tourists Spending (SAR);AlQassim Province;Unayzah;1757674.85
2023-November;Tourists Spending (SAR);AlQassim Province;Unayzah;4347779.11
2023-December;Tourists Spending (SAR);AlQassim Province;Unayzah;6810741.06
2022-January;Tourists Spending (SAR);AlQassim Province;Other AlQassim;0.0
2023-March;Tourists Spending (SAR);AlQassim Province;Other AlQassim;707941.74
2021-April;Tourists Spending (SAR);AlQassim Province;Other AlQassim;241435.36
2023-April;Tourists Spending (SAR);AlQassim Province;Other AlQassim;0.0
2021-July;Tourists Spending (SAR);AlQassim Province;Other AlQassim;627188.58
2021-October;Tourists Spending (SAR);AlQassim Province;Other AlQassim;613997.18
2021-November;Tourists Spending (SAR);AlQassim Province;Other AlQassim;367178.35
2022-November;Tourists Spending (SAR);AlQassim Province;Other AlQassim;62438.310000002384
2023-November;Tourists Spending (SAR);AlQassim Province;Other AlQassim;0.0
2021-April;Tourists Spending (SAR);Aseer Province;Abha;6362784.77
2021-June;Tourists Spending (SAR);Aseer Province;Abha;10932.99
2023-June;Tourists Spending (SAR);Aseer Province;Abha;26989704.57
2022-September;Tourists Spending (SAR);Aseer Province;Abha;2793049.96
2023-September;Tourists Spending (SAR);Aseer Province;Abha;26224371.37
2022-December;Tourists Spending (SAR);Aseer Province;Abha;79748950.39
2022-March;Tourists Spending (SAR);Aseer Province;Khamis Mushait;3830.5
2022-October;Tourists Spending (SAR);Aseer Province;Khamis Mushait;1891445.27
2023-October;Tourists Spending (SAR);Aseer Province;Khamis Mushait;4061030.68
2021-November;Tourists Spending (SAR);Aseer Province;Khamis Mushait;28744543.01
2022-January;Tourists Spending (SAR);Aseer Province;Other Aseer;9203.609999999993
2023-February;Tourists Spending (SAR);Aseer Province;Other Aseer;24049050.29
2021-October;Tourists Spending (SAR);Aseer Province;Other Aseer;237826.92
2022-November;Tourists Spending (SAR);Aseer Province;Other Aseer;9274317.82
2022-December;Tourists Spending (SAR);Aseer Province;Other Aseer;21984065.119999975
2022-March;Tourists Spending (SAR);Eastern Province;Al Ahsa;87838538.95
2023-May;Tourists Spending (SAR);Eastern Province;Al Ahsa;57033836.97
2021-July;Tourists Spending (SAR);Eastern Province;Al Ahsa;3867899.4
2021-October;Tourists Spending (SAR);Eastern Province;Al Ahsa;26040219.8
2023-November;Tourists Spending (SAR);Eastern Province;Al Ahsa;70893239.52
2021-February;Tourists Spending (SAR);Eastern Province;Al Khobar;54820223.19
2021-March;Tourists Spending (SAR);Eastern Province;Al Khobar;73561182.69
2022-March;Tourists Spending (SAR);Eastern Province;Al Khobar;694526317.86
2021-April;Tourists Spending (SAR);Eastern Province;Al Khobar;19813419.05
2022-April;Tourists Spending (SAR);Eastern Province;Al Khobar;455799099.51
2023-May;Tourists Spending (SAR);Eastern Province;Al Khobar;653595722.18
2022-June;Tourists Spending (SAR);Eastern Province;Al Khobar;347360246.03
2023-October;Tourists Spending (SAR);Eastern Province;Al Khobar;300303543.41
2023-January;Tourists Spending (SAR);Eastern Province;Dammam;368778923.81
2023-February;Tourists Spending (SAR);Eastern Province;Dammam;275068379.56
2021-April;Tourists Spending (SAR);Eastern Province;Dammam;135235222.82
2023-May;Tourists Spending (SAR);Eastern Province;Dammam;267866930.59
2021-September;Tourists Spending (SAR);Eastern Province;Dammam;55728221.35
2023-September;Tourists Spending (SAR);Eastern Province;Dammam;158843298.79
2022-October;Tourists Spending (SAR);Eastern Province;Dammam;191140225.99
2022-December;Tourists Spending (SAR);Eastern Province;Dammam;248870851.17
2023-January;Tourists Spending (SAR);Eastern Province;Other Eastern;208203368.47000003
2023-February;Tourists Spending (SAR);Eastern Province;Other Eastern;239605953.58999997
2022-March;Tourists Spending (SAR);Eastern Province;Other Eastern;87910728.92999995
2021-May;Tourists Spending (SAR);Eastern Province;Other Eastern;9059856.42
2021-July;Tourists Spending (SAR);Eastern Province;Other Eastern;18041484.91
2022-July;Tourists Spending (SAR);Eastern Province;Other Eastern;105618152.58999991
2022-September;Tourists Spending (SAR);Eastern Province;Other Eastern;107754916.38999999
2023-September;Tourists Spending (SAR);Eastern Province;Other Eastern;102935746.15000002
2021-December;Tourists Spending (SAR);Eastern Province;Other Eastern;175349413.55
2023-January;Tourists Spending (SAR);Hail Province;Hail;80905150.88
2022-February;Tourists Spending (SAR);Hail Province;Hail;16256879.11
2021-April;Tourists Spending (SAR);Hail Province;Hail;100480.8
2022-May;Tourists Spending (SAR);Hail Province;Hail;20411702.8
2021-September;Tourists Spending (SAR);Hail Province;Hail;1509679.02
2022-November;Tourists Spending (SAR);Hail Province;Hail;99401543.04
2021-December;Tourists Spending (SAR);Hail Province;Hail;121557993.81
year-January;Tourists Spending (SAR);Hail Province;Other Hail;
2022-February;Tourists Spending (SAR);Hail Province;Other Hail;61793.12
year-April;Tourists Spending (SAR);Hail Province;Other Hail;
2021-March;Tourists Spending (SAR);Jazan Province;Jazan;4333094.44
2023-August;Tourists Spending (SAR);Jazan Province;Jazan;1950902.36
2022-September;Tourists Spending (SAR);Jazan Province;Jazan;344799.14
2022-December;Tourists Spending (SAR);Jazan Province;Jazan;2353244.33
2022-May;Tourists Spending (SAR);Jazan Province;Other Jazan;338060.21
2022-July;Tourists Spending (SAR);Jazan Province;Other Jazan;0.0
2023-October;Tourists Spending (SAR);Jazan Province;Other Jazan;0.0
2023-January;Tourists Spending (SAR);Jouf Province;Al Qurayyat;28249603.14
2021-February;Tourists Spending (SAR);Jouf Province;Al Qurayyat;1622486.82
2023-March;Tourists Spending (SAR);Jouf Province;Al Qurayyat;44014526.66
2023-April;Tourists Spending (SAR);Jouf Province;Al Qurayyat;19099460.63
2023-May;Tourists Spending (SAR);Jouf Province;Al Qurayyat;44100234.91
2021-September;Tourists Spending (SAR);Jouf Province;Al Qurayyat;1179299.9
2022-September;Tourists Spending (SAR);Jouf Province;Al Qurayyat;50309750.12
2023-October;Tourists Spending (SAR);Jouf Province;Al Qurayyat;11443784.11
2022-November;Tourists Spending (SAR);Jouf Province;Al Qurayyat;4843539.98
2023-December;Tourists Spending (SAR);Jouf Province;Al Qurayyat;13240895.79
2023-January;Tourists Spending (SAR);Jouf Province;Sakaka;19537554.94
2021-March;Tourists Spending (SAR);Jouf Province;Sakaka;1544600.59
2023-May;Tourists Spending (SAR);Jouf Province;Sakaka;10108333.81
2022-October;Tourists Spending (SAR);Jouf Province;Sakaka;8785393.07
2023-January;Tourists Spending (SAR);Jouf Province;Other Jouf;4722322.57
2022-November;Tourists Spending (SAR);Jouf Province;Other Jouf;2358882.2699999977
2022-February;Tourists Spending (SAR);Madinah Province;Al Ula;7145817.15
2021-April;Tourists Spending (SAR);Madinah Province;Al Ula;26881.46
2022-October;Tourists Spending (SAR);Madinah Province;Al Ula;1352152.73
2023-October;Tourists Spending (SAR);Madinah Province;Al Ula;35969177.63
2021-November;Tourists Spending (SAR);Madinah Province;Al Ula;10716057.24
2022-January;Tourists Spending (SAR);Madinah Province;Madinah;1894482.07
2021-February;Tourists Spending (SAR);Madinah Province;Madinah;477424.32
2022-February;Tourists Spending (SAR);Madinah Province;Madinah;2328734.48
2023-June;Tourists Spending (SAR);Madinah Province;Madinah;33212830.19
2021-July;Tourists Spending (SAR);Madinah Province;Madinah;12057211.32
2022-July;Tourists Spending (SAR);Madinah Province;Madinah;23228246.18
2022-January;Tourists Spending (SAR);Madinah Province;Yanbu;4826032.01
2023-March;Tourists Spending (SAR);Madinah Province;Other Madinah;854310.18
2021-March;Tourists Spending (SAR);Makkah Province;Jeddah;76746900.53
2023-April;Tourists Spending (SAR);Makkah Province;Jeddah;1416901328.79
