,Indicator,Province,value,year,month,tourism type
0,Tourists Number (Overnight Visitors),Albaha province,31.0,2021,3,inbound_tourism
1,Tourists Number (Overnight Visitors),Albaha province,1188.0,2023,5,inbound_tourism
2,Tourists Number (Overnight Visitors),Albaha province,1703.0,2023,10,inbound_tourism
3,Tourists Number (Overnight Visitors),Albaha province,123.14679255048657,2022,11,inbound_tourism
4,Tourists Number (Overnight Visitors),Albaha province,415.0,2023,11,inbound_tourism
5,Tourists Number (Overnight Visitors),AlQassim Province,4158.0,2023,1,inbound_tourism
6,Tourists Number (Overnight Visitors),AlQassim Province,21503.0,2021,3,inbound_tourism
7,Tourists Number (Overnight Visitors),AlQassim Province,2411.0,2022,4,inbound_tourism
8,Tourists Number (Overnight Visitors),AlQassim Province,437.0,2021,7,inbound_tourism
9,Tourists Number (Overnight Visitors),AlQassim Province,1137.0,2022,7,inbound_tourism
10,Tourists Number (Overnight Visitors),AlQassim Province,13490.0,2023,9,inbound_tourism
11,Tourists Number (Overnight Visitors),AlQassim Province,3163.0,2023,10,inbound_tourism
12,Tourists Number (Overnight Visitors),AlQassim Province,259.0,2023,3,inbound_tourism
13,Tourists Number (Overnight Visitors),AlQassim Province,232.0,2021,6,inbound_tourism
14,Tourists Number (Overnight Visitors),AlQassim Province,320.0,2023,9,inbound_tourism
15,Tourists Number (Overnight Visitors),AlQassim Province,7443.0,2023,3,inbound_tourism
16,Tourists Number (Overnight Visitors),AlQassim Province,266.0,2021,5,inbound_tourism
17,Tourists Number (Overnight Visitors),AlQassim Province,743.0,2022,6,inbound_tourism
18,Tourists Number (Overnight Visitors),AlQassim Province,1068.0,2021,8,inbound_tourism
19,Tourists Number (Overnight Visitors),AlQassim Province,4254.0,2022,8,inbound_tourism
20,Tourists Number (Overnight Visitors),AlQassim Province,232.0,2023,8,inbound_tourism
21,Tourists Number (Overnight Visitors),AlQassim Province,401.0,2022,9,inbound_tourism
22,Tourists Number (Overnight Visitors),AlQassim Province,946.0,2021,12,inbound_tourism
23,Tourists Number (Overnight Visitors),AlQassim Province,0.0,2022,1,inbound_tourism
24,Tourists Number (Overnight Visitors),AlQassim Province,0.0,2022,2,inbound_tourism
25,Tourists Number (Overnight Visitors),AlQassim Province,0.0,2023,5,inbound_tourism
26,Tourists Number (Overnight Visitors),AlQassim Province,33.0,2021,6,inbound_tourism
27,Tourists Number (Overnight Visitors),AlQassim Province,141.0,2022,6,inbound_tourism
28,Tourists Number (Overnight Visitors),AlQassim Province,6.0,2023,8,inbound_tourism
29,Tourists Number (Overnight Visitors),AlQassim Province,562.0,2023,12,inbound_tourism
30,Tourists Number (Overnight Visitors),Aseer Province,4206.0,2023,1,inbound_tourism
31,Tourists Number (Overnight Visitors),Aseer Province,4.0,2022,2,inbound_tourism
32,Tourists Number (Overnight Visitors),Aseer Province,624.0,2021,3,inbound_tourism
33,Tourists Number (Overnight Visitors),Aseer Province,580.0,2021,4,inbound_tourism
34,Tourists Number (Overnight Visitors),Aseer Province,7.0,2021,6,inbound_tourism
35,Tourists Number (Overnight Visitors),Aseer Province,7309.0,2021,12,inbound_tourism
36,Tourists Number (Overnight Visitors),Aseer Province,130.0,2022,5,inbound_tourism
37,Tourists Number (Overnight Visitors),Aseer Province,120.0,2022,7,inbound_tourism
38,Tourists Number (Overnight Visitors),Aseer Province,2616.0,2023,7,inbound_tourism
39,Tourists Number (Overnight Visitors),Aseer Province,34.0,2022,8,inbound_tourism
40,Tourists Number (Overnight Visitors),Aseer Province,3119.0,2023,8,inbound_tourism
41,Tourists Number (Overnight Visitors),Aseer Province,92.0,2021,9,inbound_tourism
42,Tourists Number (Overnight Visitors),Aseer Province,14573.0,2022,12,inbound_tourism
43,Tourists Number (Overnight Visitors),Aseer Province,1.0,2022,1,inbound_tourism
44,Tourists Number (Overnight Visitors),Aseer Province,1.0,2022,1,inbound_tourism
45,Tourists Number (Overnight Visitors),Aseer Province,5556.0,2023,1,inbound_tourism
46,Tourists Number (Overnight Visitors),Aseer Province,2419.0,2023,5,inbound_tourism
47,Tourists Number (Overnight Visitors),Aseer Province,0.0,2022,7,inbound_tourism
48,Tourists Number (Overnight Visitors),Aseer Province,129.0,2021,8,inbound_tourism
49,Tourists Number (Overnight Visitors),Aseer Province,2680.0,2022,11,inbound_tourism
50,Tourists Number (Overnight Visitors),Aseer Province,240.0,2021,12,inbound_tourism
51,Tourists Number (Overnight Visitors),Eastern Province,111251.0,2023,8,inbound_tourism
52,Tourists Number (Overnight Visitors),Eastern Province,66593.0,2023,10,inbound_tourism
53,Tourists Number (Overnight Visitors),Eastern Province,164123.0,2023,1,inbound_tourism
54,Tourists Number (Overnight Visitors),Eastern Province,18421.0,2021,2,inbound_tourism
55,Tourists Number (Overnight Visitors),Eastern Province,133745.0,2023,2,inbound_tourism
56,Tourists Number (Overnight Visitors),Eastern Province,112353.0,2023,3,inbound_tourism
57,Tourists Number (Overnight Visitors),Eastern Province,119328.0,2023,4,inbound_tourism
58,Tourists Number (Overnight Visitors),Eastern Province,7792.0,2021,5,inbound_tourism
59,Tourists Number (Overnight Visitors),Eastern Province,59375.0,2022,8,inbound_tourism
60,Tourists Number (Overnight Visitors),Eastern Province,124113.0,2023,8,inbound_tourism
61,Tourists Number (Overnight Visitors),Eastern Province,53616.0,2021,9,inbound_tourism
62,Tourists Number (Overnight Visitors),Eastern Province,123987.0,2022,11,inbound_tourism
63,Tourists Number (Overnight Visitors),Eastern Province,111505.0,2023,12,inbound_tourism
64,Tourists Number (Overnight Visitors),Eastern Province,23707.0,2021,1,inbound_tourism
65,Tourists Number (Overnight Visitors),Eastern Province,65538.0,2022,6,inbound_tourism
66,Tourists Number (Overnight Visitors),Eastern Province,42719.0,2021,7,inbound_tourism
67,Tourists Number (Overnight Visitors),Eastern Province,127327.0,2022,8,inbound_tourism
68,Tourists Number (Overnight Visitors),Eastern Province,95495.0,2023,9,inbound_tourism
69,Tourists Number (Overnight Visitors),Eastern Province,9725.0,2021,5,inbound_tourism
70,Tourists Number (Overnight Visitors),Eastern Province,16029.0,2021,7,inbound_tourism
71,Tourists Number (Overnight Visitors),Eastern Province,106325.0,2023,11,inbound_tourism
72,Tourists Number (Overnight Visitors),Eastern Province,66036.0,2021,12,inbound_tourism
73,Tourists Number (Overnight Visitors),Eastern Province,91592.0,2022,12,inbound_tourism
74,Tourists Number (Overnight Visitors),Eastern Province,119771.0,2023,12,inbound_tourism
75,Tourists Number (Overnight Visitors),Hail Province,28913.0,2023,1,inbound_tourism
76,Tourists Number (Overnight Visitors),Hail Province,27920.0,2023,2,inbound_tourism
77,Tourists Number (Overnight Visitors),Hail Province,1013.0,2021,3,inbound_tourism
78,Tourists Number (Overnight Visitors),Hail Province,51614.0,2023,3,inbound_tourism
79,Tourists Number (Overnight Visitors),Hail Province,49748.0,2023,5,inbound_tourism
80,Tourists Number (Overnight Visitors),Hail Province,20201.0,2023,6,inbound_tourism
81,Tourists Number (Overnight Visitors),Hail Province,29867.0,2023,9,inbound_tourism
82,Tourists Number (Overnight Visitors),Hail Province,16837.0,2021,11,inbound_tourism
83,Tourists Number (Overnight Visitors),Hail Province,63999.0,2022,12,inbound_tourism
84,Tourists Number (Overnight Visitors),Jazan Province,5947.0,2022,2,inbound_tourism
85,Tourists Number (Overnight Visitors),Jazan Province,2494.0,2023,2,inbound_tourism
86,Tourists Number (Overnight Visitors),Jazan Province,423.0,2021,4,inbound_tourism
87,Tourists Number (Overnight Visitors),Jazan Province,1061.0,2023,5,inbound_tourism
88,Tourists Number (Overnight Visitors),Jazan Province,278.0,2022,10,inbound_tourism
89,Tourists Number (Overnight Visitors),Jazan Province,22.0,2023,10,inbound_tourism
90,Tourists Number (Overnight Visitors),Jazan Province,1748.0,2023,2,inbound_tourism
91,Tourists Number (Overnight Visitors),Jazan Province,1343.0,2021,3,inbound_tourism
92,Tourists Number (Overnight Visitors),Jazan Province,80.0,2021,7,inbound_tourism
93,Tourists Number (Overnight Visitors),Jazan Province,0.0,2022,9,inbound_tourism
94,Tourists Number (Overnight Visitors),Jazan Province,143.0,2021,12,inbound_tourism
95,Tourists Number (Overnight Visitors),Jouf Province,1285.0,2021,1,inbound_tourism
96,Tourists Number (Overnight Visitors),Jouf Province,234.0,2021,2,inbound_tourism
97,Tourists Number (Overnight Visitors),Jouf Province,861.0,2022,2,inbound_tourism
98,Tourists Number (Overnight Visitors),Jouf Province,107.0,2021,3,inbound_tourism
99,Tourists Number (Overnight Visitors),Jouf Province,11522.0,2023,5,inbound_tourism
100,Tourists Number (Overnight Visitors),Jouf Province,333.0,2021,7,inbound_tourism
101,Tourists Number (Overnight Visitors),Jouf Province,6519.0,2023,7,inbound_tourism
102,Tourists Number (Overnight Visitors),Jouf Province,243.0,2021,8,inbound_tourism
103,Tourists Number (Overnight Visitors),Jouf Province,3130.0,2022,11,inbound_tourism
104,Tourists Number (Overnight Visitors),Jouf Province,4152.0,2023,2,inbound_tourism
105,Tourists Number (Overnight Visitors),Jouf Province,1760.0,2021,7,inbound_tourism
106,Tourists Number (Overnight Visitors),Jouf Province,2116.0,2021,8,inbound_tourism
107,Tourists Number (Overnight Visitors),Jouf Province,2138.0,2022,10,inbound_tourism
108,Tourists Number (Overnight Visitors),Jouf Province,3001.0,2022,11,inbound_tourism
109,Tourists Number (Overnight Visitors),Jouf Province,627.0,2021,12,inbound_tourism
110,Tourists Number (Overnight Visitors),Jouf Province,91.0,2023,5,inbound_tourism
111,Tourists Number (Overnight Visitors),Jouf Province,352.0,2022,11,inbound_tourism
112,Tourists Number (Overnight Visitors),Jouf Province,1.0,2022,12,inbound_tourism
113,Tourists Number (Overnight Visitors),Jouf Province,1.0,2022,12,inbound_tourism
114,Tourists Number (Overnight Visitors),Madinah Province,144.0,2021,7,inbound_tourism
115,Tourists Number (Overnight Visitors),Madinah Province,109.0,2021,9,inbound_tourism
116,Tourists Number (Overnight Visitors),Madinah Province,3769.0,2021,11,inbound_tourism
117,Tourists Number (Overnight Visitors),Madinah Province,2984.0,2022,11,inbound_tourism
118,Tourists Number (Overnight Visitors),Madinah Province,2639.0,2021,12,inbound_tourism
119,Tourists Number (Overnight Visitors),Madinah Province,168.0,2021,2,inbound_tourism
120,Tourists Number (Overnight Visitors),Madinah Province,11908.0,2023,2,inbound_tourism
121,Tourists Number (Overnight Visitors),Madinah Province,1417.0,2021,7,inbound_tourism
122,Tourists Number (Overnight Visitors),Madinah Province,3790.0,2022,7,inbound_tourism
123,Tourists Number (Overnight Visitors),Madinah Province,3656.0,2022,8,inbound_tourism
124,Tourists Number (Overnight Visitors),Madinah Province,4610.0,2022,9,inbound_tourism
125,Tourists Number (Overnight Visitors),Madinah Province,4615.0,2021,10,inbound_tourism
126,Tourists Number (Overnight Visitors),Madinah Province,7463.0,2022,10,inbound_tourism
127,Tourists Number (Overnight Visitors),Madinah Province,1398.0,2021,11,inbound_tourism
128,Tourists Number (Overnight Visitors),Madinah Province,7.0,2022,12,inbound_tourism
129,Tourists Number (Overnight Visitors),Madinah Province,406.0,2023,1,inbound_tourism
130,Tourists Number (Overnight Visitors),Madinah Province,0.0,2023,2,inbound_tourism
131,Tourists Number (Overnight Visitors),Madinah Province,239.0,2023,4,inbound_tourism
132,Tourists Number (Overnight Visitors),Madinah Province,0.0,2023,5,inbound_tourism
133,Tourists Number (Overnight Visitors),Madinah Province,64.0,2021,7,inbound_tourism
134,Tourists Number (Overnight Visitors),Madinah Province,21.0,2021,10,inbound_tourism
135,Tourists Number (Overnight Visitors),Makkah Province,148324.0,2023,1,inbound_tourism
136,Tourists Number (Overnight Visitors),Makkah Province,184950.0,2022,4,inbound_tourism
137,Tourists Number (Overnight Visitors),Makkah Province,79964.0,2023,9,inbound_tourism
138,Tourists Number (Overnight Visitors),Makkah Province,67684.0,2021,11,inbound_tourism
139,Tourists Number (Overnight Visitors),Makkah Province,3403.0,2021,1,inbound_tourism
140,Tourists Number (Overnight Visitors),Makkah Province,632895.0,2023,5,inbound_tourism
141,Tourists Number (Overnight Visitors),Makkah Province,360971.0,2023,7,inbound_tourism
142,Tourists Number (Overnight Visitors),Makkah Province,1065204.0,2022,11,inbound_tourism
143,Tourists Number (Overnight Visitors),Makkah Province,62.0,2021,7,inbound_tourism
144,Tourists Number (Overnight Visitors),Makkah Province,8037.0,2023,7,inbound_tourism
145,Tourists Number (Overnight Visitors),Makkah Province,3646.0,2022,9,inbound_tourism
146,Tourists Number (Overnight Visitors),Makkah Province,364.0,2021,10,inbound_tourism
147,Tourists Number (Overnight Visitors),Makkah Province,3568.0,2023,10,inbound_tourism
148,Tourists Number (Overnight Visitors),Makkah Province,168.0,2021,11,inbound_tourism
149,Tourists Number (Overnight Visitors),Makkah Province,0.0,2023,2,inbound_tourism
150,Tourists Number (Overnight Visitors),Makkah Province,423.0,2023,3,inbound_tourism
151,Tourists Number (Overnight Visitors),Makkah Province,0.0,2023,5,inbound_tourism
152,Tourists Number (Overnight Visitors),Makkah Province,132.0,2022,7,inbound_tourism
153,Tourists Number (Overnight Visitors),Makkah Province,0.0,2022,8,inbound_tourism
154,Tourists Number (Overnight Visitors),Makkah Province,0.0,2023,8,inbound_tourism
155,Tourists Number (Overnight Visitors),Makkah Province,0.0,2023,9,inbound_tourism
156,Tourists Number (Overnight Visitors),Makkah Province,212.0,2021,10,inbound_tourism
157,Tourists Number (Overnight Visitors),Najran Province,1.0,2022,5,inbound_tourism
158,Tourists Number (Overnight Visitors),Najran Province,104.0,2021,6,inbound_tourism
159,Tourists Number (Overnight Visitors),Najran Province,80.0,2021,7,inbound_tourism
160,Tourists Number (Overnight Visitors),Najran Province,3331.0,2023,7,inbound_tourism
161,Tourists Number (Overnight Visitors),Najran Province,611.0,2022,11,inbound_tourism
162,Tourists Number (Overnight Visitors),Najran Province,1861.0,2021,12,inbound_tourism
163,Tourists Number (Overnight Visitors),Najran Province,0.0,2023,6,inbound_tourism
164,Tourists Number (Overnight Visitors),Northern Borders Province,1459.0,2021,1,inbound_tourism
165,Tourists Number (Overnight Visitors),Northern Borders Province,10534.0,2022,1,inbound_tourism
166,Tourists Number (Overnight Visitors),Northern Borders Province,1337.0,2021,3,inbound_tourism
167,Tourists Number (Overnight Visitors),Northern Borders Province,16151.0,2021,7,inbound_tourism
168,Tourists Number (Overnight Visitors),Northern Borders Province,93019.0,2022,7,inbound_tourism
169,Tourists Number (Overnight Visitors),Northern Borders Province,15064.0,2023,9,inbound_tourism
170,Tourists Number (Overnight Visitors),Northern Borders Province,12033.0,2021,10,inbound_tourism
171,Tourists Number (Overnight Visitors),Northern Borders Province,850.0,2021,1,inbound_tourism
172,Tourists Number (Overnight Visitors),Northern Borders Province,7613.0,2022,2,inbound_tourism
173,Tourists Number (Overnight Visitors),Northern Borders Province,25337.0,2022,3,inbound_tourism
174,Tourists Number (Overnight Visitors),Northern Borders Province,12607.0,2023,5,inbound_tourism
175,Tourists Number (Overnight Visitors),Northern Borders Province,14226.0,2023,7,inbound_tourism
176,Tourists Number (Overnight Visitors),Northern Borders Province,5513.0,2022,11,inbound_tourism
177,Tourists Number (Overnight Visitors),Riyadh Province,48859.0,2021,2,inbound_tourism
178,Tourists Number (Overnight Visitors),Riyadh Province,70664.0,2021,4,inbound_tourism
179,Tourists Number (Overnight Visitors),Riyadh Province,134086.0,2022,4,inbound_tourism
180,Tourists Number (Overnight Visitors),Riyadh Province,112981.0,2022,5,inbound_tourism
181,Tourists Number (Overnight Visitors),Riyadh Province,273006.0,2023,5,inbound_tourism
182,Tourists Number (Overnight Visitors),Riyadh Province,72069.0,2021,6,inbound_tourism
183,Tourists Number (Overnight Visitors),Riyadh Province,195450.0,2023,7,inbound_tourism
184,Tourists Number (Overnight Visitors),Riyadh Province,225440.0,2023,8,inbound_tourism
185,Tourists Number (Overnight Visitors),Riyadh Province,158077.0,2022,9,inbound_tourism
186,Tourists Number (Overnight Visitors),Riyadh Province,238363.0,2022,12,inbound_tourism
187,Tourists Number (Overnight Visitors),Riyadh Province,153.0,2021,3,inbound_tourism
188,Tourists Number (Overnight Visitors),Riyadh Province,24981.0,2023,3,inbound_tourism
189,Tourists Number (Overnight Visitors),Riyadh Province,223.0,2021,4,inbound_tourism
190,Tourists Number (Overnight Visitors),Riyadh Province,2855.0,2022,4,inbound_tourism
191,Tourists Number (Overnight Visitors),Riyadh Province,15065.0,2023,4,inbound_tourism
192,Tourists Number (Overnight Visitors),Riyadh Province,10948.0,2023,5,inbound_tourism
193,Tourists Number (Overnight Visitors),Riyadh Province,11516.0,2022,6,inbound_tourism
194,Tourists Number (Overnight Visitors),Riyadh Province,2127.0,2021,9,inbound_tourism
195,Tourists Number (Overnight Visitors),Riyadh Province,7995.0,2021,10,inbound_tourism
196,Tourists Number (Overnight Visitors),Riyadh Province,15997.0,2023,10,inbound_tourism
197,Tourists Number (Overnight Visitors),Tabuk Province,998.0,2023,2,inbound_tourism
198,Tourists Number (Overnight Visitors),Tabuk Province,302.0,2023,5,inbound_tourism
199,Tourists Number (Overnight Visitors),Tabuk Province,493.0,2022,11,inbound_tourism
200,Tourists Number (Overnight Visitors),Tabuk Province,679.0,2023,1,inbound_tourism
201,Tourists Number (Overnight Visitors),Tabuk Province,679.0,2023,1,inbound_tourism
202,Tourists Number (Overnight Visitors),Tabuk Province,2208.0,2023,2,inbound_tourism
203,Tourists Number (Overnight Visitors),Tabuk Province,1516.0,2023,3,inbound_tourism
204,Tourists Number (Overnight Visitors),Tabuk Province,947.0,2023,6,inbound_tourism
205,Tourists Number (Overnight Visitors),Tabuk Province,275.0,2022,10,inbound_tourism
206,Tourists Number (Overnight Visitors),Tabuk Province,275.0,2022,10,inbound_tourism
207,Tourists Number (Overnight Visitors),Tabuk Province,820.0,2022,12,inbound_tourism
208,Tourists Number (Overnight Visitors),Tabuk Province,3967.0,2022,1,inbound_tourism
209,Tourists Number (Overnight Visitors),Tabuk Province,214.0,2021,2,inbound_tourism
210,Tourists Number (Overnight Visitors),Tabuk Province,3002.0,2023,4,inbound_tourism
211,Tourists Number (Overnight Visitors),Tabuk Province,733.0,2021,5,inbound_tourism
212,Tourists Number (Overnight Visitors),Tabuk Province,8401.0,2023,5,inbound_tourism
213,Tourists Number (Overnight Visitors),Tabuk Province,1663.0,2021,7,inbound_tourism
214,Tourists Number (Overnight Visitors),Tabuk Province,2528.0,2021,8,inbound_tourism
215,Tourists Number (Overnight Visitors),Tabuk Province,17042.0,2022,9,inbound_tourism
216,Tourists Number (Overnight Visitors),Tabuk Province,5945.0,2023,9,inbound_tourism
217,Tourists Number (Overnight Visitors),Tabuk Province,494.0,2021,12,inbound_tourism
218,Tourists Number (Overnight Visitors),Tabuk Province,1114.0,2023,9,inbound_tourism
219,Tourists Number (Overnight Visitors),Tabuk Province,24.0,2021,7,inbound_tourism
220,Tourists Number (Overnight Visitors),Total,548936.0,2022,1,inbound_tourism
221,Tourists Number (Overnight Visitors),Total,1765626.0,2022,7,inbound_tourism
222,Tourists Number (Overnight Visitors),Total,1349770.0,2023,7,inbound_tourism
223,Tourists Number (Overnight Visitors),Total,257364.0,2021,8,inbound_tourism
224,Tourists Number (Overnight Visitors),Total,1538977.0,2022,9,inbound_tourism
225,Tourists Number (Overnight Visitors),Total,452985.0,2021,10,inbound_tourism
226,Tourists Number (Overnight Visitors),Total,2191039.0,2023,10,inbound_tourism
227,Tourists Number (Overnight Visitors),Total,691418.0,2021,12,inbound_tourism
228,Tourists Spending (SAR),Albaha province,40222.359681579575,2022,3,inbound_tourism
229,Tourists Spending (SAR),Albaha province,134892.78076981255,2022,6,inbound_tourism
230,Tourists Spending (SAR),Albaha province,124617.58,2021,12,inbound_tourism
231,Tourists Spending (SAR),Albaha province,3456.77,2023,12,inbound_tourism
232,Tourists Spending (SAR),Albaha province,22551.98,2021,1,inbound_tourism
233,Tourists Spending (SAR),AlQassim Province,628522.1,2021,1,inbound_tourism
234,Tourists Spending (SAR),AlQassim Province,52108902.78,2022,1,inbound_tourism
235,Tourists Spending (SAR),AlQassim Province,25805066.3,2023,3,inbound_tourism
236,Tourists Spending (SAR),AlQassim Province,2749792.93,2021,4,inbound_tourism
237,Tourists Spending (SAR),AlQassim Province,1749826.4,2022,7,inbound_tourism
238,Tourists Spending (SAR),AlQassim Province,8639459.41,2022,8,inbound_tourism
239,Tourists Spending (SAR),AlQassim Province,5754816.13,2023,10,inbound_tourism
240,Tourists Spending (SAR),AlQassim Province,481778.89,2022,1,inbound_tourism
241,Tourists Spending (SAR),AlQassim Province,1576857.38,2021,5,inbound_tourism
242,Tourists Spending (SAR),AlQassim Province,575736.44,2022,10,inbound_tourism
243,Tourists Spending (SAR),AlQassim Province,96043.78,2021,11,inbound_tourism
244,Tourists Spending (SAR),AlQassim Province,71818078.96,2022,11,inbound_tourism
245,Tourists Spending (SAR),AlQassim Province,2852397.64,2022,1,inbound_tourism
246,Tourists Spending (SAR),AlQassim Province,7409472.92,2023,2,inbound_tourism
247,Tourists Spending (SAR),AlQassim Province,30422191.28,2023,3,inbound_tourism
248,Tourists Spending (SAR),AlQassim Province,2440758.84,2023,4,inbound_tourism
249,Tourists Spending (SAR),AlQassim Province,5770869.0,2023,5,inbound_tourism
250,Tourists Spending (SAR),AlQassim Province,1722910.09,2022,6,inbound_tourism
251,Tourists Spending (SAR),AlQassim Province,14697432.13,2023,7,inbound_tourism
252,Tourists Spending (SAR),AlQassim Province,1757674.85,2021,10,inbound_tourism
253,Tourists Spending (SAR),AlQassim Province,4347779.11,2023,11,inbound_tourism
254,Tourists Spending (SAR),AlQassim Province,6810741.06,2023,12,inbound_tourism
255,Tourists Spending (SAR),AlQassim Province,0.0,2022,1,inbound_tourism
256,Tourists Spending (SAR),AlQassim Province,707941.74,2023,3,inbound_tourism
257,Tourists Spending (SAR),AlQassim Province,241435.36,2021,4,inbound_tourism
258,Tourists Spending (SAR),AlQassim Province,0.0,2023,4,inbound_tourism
259,Tourists Spending (SAR),AlQassim Province,627188.58,2021,7,inbound_tourism
260,Tourists Spending (SAR),AlQassim Province,613997.18,2021,10,inbound_tourism
261,Tourists Spending (SAR),AlQassim Province,367178.35,2021,11,inbound_tourism
262,Tourists Spending (SAR),AlQassim Province,62438.310000002384,2022,11,inbound_tourism
263,Tourists Spending (SAR),AlQassim Province,0.0,2023,11,inbound_tourism
264,Tourists Spending (SAR),Aseer Province,6362784.77,2021,4,inbound_tourism
265,Tourists Spending (SAR),Aseer Province,10932.99,2021,6,inbound_tourism
266,Tourists Spending (SAR),Aseer Province,26989704.57,2023,6,inbound_tourism
267,Tourists Spending (SAR),Aseer Province,2793049.96,2022,9,inbound_tourism
268,Tourists Spending (SAR),Aseer Province,26224371.37,2023,9,inbound_tourism
269,Tourists Spending (SAR),Aseer Province,79748950.39,2022,12,inbound_tourism
270,Tourists Spending (SAR),Aseer Province,3830.5,2022,3,inbound_tourism
271,Tourists Spending (SAR),Aseer Province,1891445.27,2022,10,inbound_tourism
272,Tourists Spending (SAR),Aseer Province,4061030.68,2023,10,inbound_tourism
273,Tourists Spending (SAR),Aseer Province,28744543.01,2021,11,inbound_tourism
274,Tourists Spending (SAR),Aseer Province,9203.609999999991,2022,1,inbound_tourism
275,Tourists Spending (SAR),Aseer Province,24049050.29,2023,2,inbound_tourism
276,Tourists Spending (SAR),Aseer Province,237826.92,2021,10,inbound_tourism
277,Tourists Spending (SAR),Aseer Province,9274317.82,2022,11,inbound_tourism
278,Tourists Spending (SAR),Aseer Province,21984065.11999997,2022,12,inbound_tourism
279,Tourists Spending (SAR),Eastern Province,87838538.95,2022,3,inbound_tourism
280,Tourists Spending (SAR),Eastern Province,57033836.97,2023,5,inbound_tourism
281,Tourists Spending (SAR),Eastern Province,3867899.4,2021,7,inbound_tourism
282,Tourists Spending (SAR),Eastern Province,26040219.8,2021,10,inbound_tourism
283,Tourists Spending (SAR),Eastern Province,70893239.52,2023,11,inbound_tourism
284,Tourists Spending (SAR),Eastern Province,54820223.19,2021,2,inbound_tourism
285,Tourists Spending (SAR),Eastern Province,73561182.69,2021,3,inbound_tourism
286,Tourists Spending (SAR),Eastern Province,694526317.86,2022,3,inbound_tourism
287,Tourists Spending (SAR),Eastern Province,19813419.05,2021,4,inbound_tourism
288,Tourists Spending (SAR),Eastern Province,455799099.51,2022,4,inbound_tourism
289,Tourists Spending (SAR),Eastern Province,653595722.18,2023,5,inbound_tourism
290,Tourists Spending (SAR),Eastern Province,347360246.03,2022,6,inbound_tourism
291,Tourists Spending (SAR),Eastern Province,300303543.41,2023,10,inbound_tourism
292,Tourists Spending (SAR),Eastern Province,368778923.81,2023,1,inbound_tourism
293,Tourists Spending (SAR),Eastern Province,275068379.56,2023,2,inbound_tourism
294,Tourists Spending (SAR),Eastern Province,135235222.82,2021,4,inbound_tourism
295,Tourists Spending (SAR),Eastern Province,267866930.59,2023,5,inbound_tourism
296,Tourists Spending (SAR),Eastern Province,55728221.35,2021,9,inbound_tourism
297,Tourists Spending (SAR),Eastern Province,158843298.79,2023,9,inbound_tourism
298,Tourists Spending (SAR),Eastern Province,191140225.99,2022,10,inbound_tourism
299,Tourists Spending (SAR),Eastern Province,248870851.17,2022,12,inbound_tourism
300,Tourists Spending (SAR),Eastern Province,208203368.47000003,2023,1,inbound_tourism
301,Tourists Spending (SAR),Eastern Province,239605953.59,2023,2,inbound_tourism
302,Tourists Spending (SAR),Eastern Province,87910728.92999995,2022,3,inbound_tourism
303,Tourists Spending (SAR),Eastern Province,9059856.42,2021,5,inbound_tourism
304,Tourists Spending (SAR),Eastern Province,18041484.91,2021,7,inbound_tourism
305,Tourists Spending (SAR),Eastern Province,105618152.58999991,2022,7,inbound_tourism
306,Tourists Spending (SAR),Eastern Province,107754916.39,2022,9,inbound_tourism
307,Tourists Spending (SAR),Eastern Province,102935746.15000002,2023,9,inbound_tourism
308,Tourists Spending (SAR),Eastern Province,175349413.55,2021,12,inbound_tourism
309,Tourists Spending (SAR),Hail Province,80905150.88,2023,1,inbound_tourism
310,Tourists Spending (SAR),Hail Province,16256879.11,2022,2,inbound_tourism
311,Tourists Spending (SAR),Hail Province,100480.8,2021,4,inbound_tourism
312,Tourists Spending (SAR),Hail Province,20411702.8,2022,5,inbound_tourism
313,Tourists Spending (SAR),Hail Province,1509679.02,2021,9,inbound_tourism
314,Tourists Spending (SAR),Hail Province,99401543.04,2022,11,inbound_tourism
315,Tourists Spending (SAR),Hail Province,121557993.81,2021,12,inbound_tourism
316,Tourists Spending (SAR),Hail Province,61793.12,2022,2,inbound_tourism
317,Tourists Spending (SAR),Jazan Province,4333094.44,2021,3,inbound_tourism
318,Tourists Spending (SAR),Jazan Province,1950902.36,2023,8,inbound_tourism
319,Tourists Spending (SAR),Jazan Province,344799.14,2022,9,inbound_tourism
320,Tourists Spending (SAR),Jazan Province,2353244.33,2022,12,inbound_tourism
321,Tourists Spending (SAR),Jazan Province,338060.21,2022,5,inbound_tourism
322,Tourists Spending (SAR),Jazan Province,0.0,2022,7,inbound_tourism
323,Tourists Spending (SAR),Jazan Province,0.0,2023,10,inbound_tourism
324,Tourists Spending (SAR),Jouf Province,28249603.14,2023,1,inbound_tourism
325,Tourists Spending (SAR),Jouf Province,1622486.82,2021,2,inbound_tourism
326,Tourists Spending (SAR),Jouf Province,44014526.66,2023,3,inbound_tourism
327,Tourists Spending (SAR),Jouf Province,19099460.63,2023,4,inbound_tourism
328,Tourists Spending (SAR),Jouf Province,44100234.91,2023,5,inbound_tourism
329,Tourists Spending (SAR),Jouf Province,1179299.9,2021,9,inbound_tourism
330,Tourists Spending (SAR),Jouf Province,50309750.12,2022,9,inbound_tourism
331,Tourists Spending (SAR),Jouf Province,11443784.11,2023,10,inbound_tourism
332,Tourists Spending (SAR),Jouf Province,4843539.98,2022,11,inbound_tourism
