Date;Indicator;Province;Value
2021-12;Tourists Number (Overnight Visitors);Northern Borders;54111.0
2022-02;Tourists Number (Overnight Visitors);Riyadh;1464860.0
2023-02;Tourists Number (Overnight Visitors);Riyadh;1130922.0
2023-04;Tourists Number (Overnight Visitors);Riyadh;1042259.0
2022-06;Tourists Number (Overnight Visitors);Riyadh;873794.0
2022-07;Tourists Number (Overnight Visitors);Riyadh;1801836.0
2022-11;Tourists Number (Overnight Visitors);Riyadh;1643791.0
2021-12;Tourists Number (Overnight Visitors);Riyadh;961922.0
2021-02;Tourists Number (Overnight Visitors);Tabuk;166926.0
2023-02;Tourists Number (Overnight Visitors);Tabuk;166622.0
2023-04;Tourists Number (Overnight Visitors);Tabuk;198135.0
2021-06;Tourists Number (Overnight Visitors);Tabuk;171719.0
2021-09;Tourists Number (Overnight Visitors);Tabuk;139350.0
2023-12;Tourists Number (Overnight Visitors);Tabuk;231927.0
2023-01;Tourists Number (Overnight Visitors);Total;6293956.0
2022-02;Tourists Number (Overnight Visitors);Total;6449938.0
2021-04;Tourists Number (Overnight Visitors);Total;4431003.0
2023-07;Tourists Number (Overnight Visitors);Total;8118256.0
2022-08;Tourists Number (Overnight Visitors);Total;7008438.0
2021-09;Tourists Number (Overnight Visitors);Total;4185297.0
2022-09;Tourists Number (Overnight Visitors);Total;4196039.0
2023-09;Tourists Number (Overnight Visitors);Total;6073827.0
2022-10;Tourists Number (Overnight Visitors);Total;4838186.0
2023-10;Tourists Number (Overnight Visitors);Total;6202019.0
2021-04;Tourists Spending (SAR);Al Bahah;58453265.0
2021-06;Tourists Spending (SAR);Al Bahah;128893854.82
2023-07;Tourists Spending (SAR);Al Bahah;345643555.62
2022-09;Tourists Spending (SAR);Al Bahah;34828734.47
2021-11;Tourists Spending (SAR);Al Bahah;72044390.18
2021-12;Tourists Spending (SAR);Al Bahah;35285401.35
2023-12;Tourists Spending (SAR);Al Bahah;45747470.53
2021-01;Tourists Spending (SAR);AlQassim;329434917.29
2021-02;Tourists Spending (SAR);AlQassim;249390131.79
2023-02;Tourists Spending (SAR);AlQassim;448811010.16
2022-04;Tourists Spending (SAR);AlQassim;534286112.25
2023-05;Tourists Spending (SAR);AlQassim;328844999.02
2022-06;Tourists Spending (SAR);AlQassim;330377940.12
2021-09;Tourists Spending (SAR);AlQassim;283666243.79
2021-12;Tourists Spending (SAR);AlQassim;215355649.85
2022-12;Tourists Spending (SAR);AlQassim;249927776.19
2023-03;Tourists Spending (SAR);Aseer;669807178.96
2021-04;Tourists Spending (SAR);Aseer;497944048.19
2023-06;Tourists Spending (SAR);Aseer;1895929410.85
2023-07;Tourists Spending (SAR);Aseer;1909364782.91
2021-09;Tourists Spending (SAR);Aseer;395687999.5
2021-11;Tourists Spending (SAR);Aseer;579206073.93
2023-12;Tourists Spending (SAR);Aseer;768315366.19
2021-04;Tourists Spending (SAR);Eastern Province;1150978575.99
2022-05;Tourists Spending (SAR);Eastern Province;1252936120.23
2022-07;Tourists Spending (SAR);Eastern Province;1303936194.54
2023-08;Tourists Spending (SAR);Eastern Province;1541475919.28
2021-09;Tourists Spending (SAR);Eastern Province;747608920.02
2022-09;Tourists Spending (SAR);Eastern Province;731982242.12
2023-09;Tourists Spending (SAR);Eastern Province;1526308843.29
2022-10;Tourists Spending (SAR);Eastern Province;943969219.7
2021-11;Tourists Spending (SAR);Eastern Province;1138144705.14
2022-11;Tourists Spending (SAR);Eastern Province;1382214502.84
2023-12;Tourists Spending (SAR);Eastern Province;1106544241.29
2021-12;Tourists Spending (SAR);Hail;156934242.77
2021-05;Tourists Spending (SAR);Jazan;449426257.04
2023-07;Tourists Spending (SAR);Jazan;138910048.06
2023-08;Tourists Spending (SAR);Jazan;187360471.91
2022-09;Tourists Spending (SAR);Jazan;102723607.32
2023-09;Tourists Spending (SAR);Jazan;151310717.77
2021-01;Tourists Spending (SAR);Jouf;136472639.62
2021-04;Tourists Spending (SAR);Jouf;116544028.44
2022-05;Tourists Spending (SAR);Jouf;254815106.46
2023-05;Tourists Spending (SAR);Jouf;66347488.01
2021-06;Tourists Spending (SAR);Jouf;78641681.16
2021-10;Tourists Spending (SAR);Jouf;161352003.57
2021-11;Tourists Spending (SAR);Jouf;187208521.29
2023-02;Tourists Spending (SAR);Madinah;430928872.48
2021-04;Tourists Spending (SAR);Madinah;313648817.83
2023-05;Tourists Spending (SAR);Madinah;373609572.47
2021-06;Tourists Spending (SAR);Madinah;299544240.08
2023-06;Tourists Spending (SAR);Madinah;689960043.58
2021-09;Tourists Spending (SAR);Madinah;396288131.73
2021-12;Tourists Spending (SAR);Madinah;397554189.19
2023-12;Tourists Spending (SAR);Madinah;596799989.9
2023-02;Tourists Spending (SAR);Makkah;1788620353.67
2022-04;Tourists Spending (SAR);Makkah;4447572018.01
2022-10;Tourists Spending (SAR);Makkah;1321300980.25
2021-11;Tourists Spending (SAR);Makkah;3982305995.2
2023-06;Tourists Spending (SAR);Najran;237702768.26
2022-07;Tourists Spending (SAR);Najran;418252613.13
2021-08;Tourists Spending (SAR);Najran;165986105.9
2021-10;Tourists Spending (SAR);Najran;609018677.08
2023-10;Tourists Spending (SAR);Najran;270084319.12
2022-02;Tourists Spending (SAR);Northern Borders;340435269.13
2023-05;Tourists Spending (SAR);Northern Borders;117727117.55
2021-08;Tourists Spending (SAR);Northern Borders;144396378.23
2023-08;Tourists Spending (SAR);Northern Borders;161675028.59
2021-10;Tourists Spending (SAR);Northern Borders;173448007.34
2023-11;Tourists Spending (SAR);Northern Borders;244937409.53
2022-01;Tourists Spending (SAR);Riyadh;2626343102.92
2023-02;Tourists Spending (SAR);Riyadh;1993535097.88
2023-03;Tourists Spending (SAR);Riyadh;2357876062.65
2021-05;Tourists Spending (SAR);Riyadh;1787131231.08
2022-06;Tourists Spending (SAR);Riyadh;1312292114.39
2021-07;Tourists Spending (SAR);Riyadh;2557423836.37
2021-11;Tourists Spending (SAR);Riyadh;2495892559.88
2023-11;Tourists Spending (SAR);Riyadh;3251684597.87
2022-12;Tourists Spending (SAR);Riyadh;1411915914.68
2023-12;Tourists Spending (SAR);Riyadh;2978127647.9
2021-02;Tourists Spending (SAR);Tabuk;328139941.01
2022-05;Tourists Spending (SAR);Tabuk;568517938.18
2023-06;Tourists Spending (SAR);Tabuk;505486594.57
2022-07;Tourists Spending (SAR);Tabuk;875841185.5
2021-01;Tourists Spending (SAR);Total;8947212083.66
2022-02;Tourists Spending (SAR);Total;9133516273.86
2023-05;Tourists Spending (SAR);Total;6713556560.63
2023-06;Tourists Spending (SAR);Total;15411593215.57
2021-10;Tourists Spending (SAR);Total;7546429996.87
2022-11;Tourists Spending (SAR);Total;8260127634.69
2023-04;Tourists Number (Overnight Visitors);Al Bahah;69457.0
2021-05;Tourists Number (Overnight Visitors);Al Bahah;158744.0
2021-06;Tourists Number (Overnight Visitors);Al Bahah;95902.0
2022-06;Tourists Number (Overnight Visitors);Al Bahah;29098.0
2021-12;Tourists Number (Overnight Visitors);Al Bahah;33474.0
2021-03;Tourists Number (Overnight Visitors);AlQassim;266316.0
2023-03;Tourists Number (Overnight Visitors);AlQassim;312158.0
2022-08;Tourists Number (Overnight Visitors);AlQassim;274187.0
2022-09;Tourists Number (Overnight Visitors);AlQassim;279147.0
2023-09;Tourists Number (Overnight Visitors);AlQassim;306215.0
2021-12;Tourists Number (Overnight Visitors);AlQassim;233187.0
2023-02;Tourists Number (Overnight Visitors);Aseer;448544.0
2022-04;Tourists Number (Overnight Visitors);Aseer;513029.0
2022-06;Tourists Number (Overnight Visitors);Aseer;281209.0
2023-07;Tourists Number (Overnight Visitors);Aseer;1192372.0
2023-10;Tourists Number (Overnight Visitors);Aseer;456876.0
2023-11;Tourists Number (Overnight Visitors);Aseer;641634.0
2023-12;Tourists Number (Overnight Visitors);Aseer;556564.0
2023-04;Tourists Number (Overnight Visitors);Eastern Province;1141790.0
2022-06;Tourists Number (Overnight Visitors);Eastern Province;632441.0
2021-08;Tourists Number (Overnight Visitors);Eastern Province;710812.0
2022-08;Tourists Number (Overnight Visitors);Eastern Province;873699.0
2022-12;Tourists Number (Overnight Visitors);Eastern Province;678578.0
2022-01;Tourists Number (Overnight Visitors);Hail;222938.0
2022-03;Tourists Number (Overnight Visitors);Hail;167726.0
2023-03;Tourists Number (Overnight Visitors);Hail;201187.0
2023-05;Tourists Number (Overnight Visitors);Hail;98837.0
2022-07;Tourists Number (Overnight Visitors);Hail;379081.0
2023-07;Tourists Number (Overnight Visitors);Hail;130601.0
2021-09;Tourists Number (Overnight Visitors);Hail;128020.0
2022-12;Tourists Number (Overnight Visitors);Hail;129187.0
2023-02;Tourists Number (Overnight Visitors);Jazan;246886.0
2021-03;Tourists Number (Overnight Visitors);Jazan;173450.0
2022-03;Tourists Number (Overnight Visitors);Jazan;155334.0
2021-05;Tourists Number (Overnight Visitors);Jazan;310647.0
2022-07;Tourists Number (Overnight Visitors);Jazan;257619.0
2022-09;Tourists Number (Overnight Visitors);Jazan;95185.0
2023-09;Tourists Number (Overnight Visitors);Jazan;116191.0
2021-10;Tourists Number (Overnight Visitors);Jazan;220290.0
2023-04;Tourists Number (Overnight Visitors);Jouf;98404.0
2022-05;Tourists Number (Overnight Visitors);Jouf;104358.0
2022-09;Tourists Number (Overnight Visitors);Jouf;61761.0
2021-10;Tourists Number (Overnight Visitors);Jouf;80191.0
2021-12;Tourists Number (Overnight Visitors);Jouf;55171.0
2023-03;Tourists Number (Overnight Visitors);Madinah;500722.0
2021-04;Tourists Number (Overnight Visitors);Madinah;287437.0
2021-06;Tourists Number (Overnight Visitors);Madinah;250211.0
2022-06;Tourists Number (Overnight Visitors);Madinah;279202.0
2023-06;Tourists Number (Overnight Visitors);Madinah;650764.0
2023-07;Tourists Number (Overnight Visitors);Madinah;523139.0
2021-03;Tourists Number (Overnight Visitors);Makkah;1198175.0
2023-07;Tourists Number (Overnight Visitors);Makkah;2204132.0
2022-12;Tourists Number (Overnight Visitors);Makkah;1125115.0
2023-02;Tourists Number (Overnight Visitors);Najran;76058.0
2023-05;Tourists Number (Overnight Visitors);Najran;63019.0
2021-10;Tourists Number (Overnight Visitors);Najran;82504.0
2021-11;Tourists Number (Overnight Visitors);Najran;80222.0
2021-12;Tourists Number (Overnight Visitors);Najran;57125.0
2022-01;Tourists Number (Overnight Visitors);Northern Borders;124274.0
2022-04;Tourists Number (Overnight Visitors);Northern Borders;75809.0
2023-05;Tourists Number (Overnight Visitors);Northern Borders;56611.0
2023-06;Tourists Number (Overnight Visitors);Northern Borders;134262.0
2022-12;Tourists Number (Overnight Visitors);Northern Borders;54444.0
2021-01;Tourists Number (Overnight Visitors);Riyadh;1120515.0
2021-02;Tourists Number (Overnight Visitors);Riyadh;760632.0
2022-04;Tourists Number (Overnight Visitors);Riyadh;1082452.0
2023-05;Tourists Number (Overnight Visitors);Riyadh;1060746.0
2021-11;Tourists Number (Overnight Visitors);Riyadh;1355376.0
2023-12;Tourists Number (Overnight Visitors);Riyadh;1533375.0
2021-03;Tourists Number (Overnight Visitors);Tabuk;165132.0
2022-03;Tourists Number (Overnight Visitors);Tabuk;194259.0
2021-05;Tourists Number (Overnight Visitors);Tabuk;217231.0
2023-08;Tourists Number (Overnight Visitors);Tabuk;261394.0
2022-09;Tourists Number (Overnight Visitors);Tabuk;145688.0
2021-11;Tourists Number (Overnight Visitors);Tabuk;252144.0
2021-03;Tourists Number (Overnight Visitors);Total;4408037.0
2023-03;Tourists Number (Overnight Visitors);Total;6502156.0
2022-04;Tourists Number (Overnight Visitors);Total;8036131.0
2022-05;Tourists Number (Overnight Visitors);Total;7246109.0
2021-06;Tourists Number (Overnight Visitors);Total;4165569.0
2021-12;Tourists Number (Overnight Visitors);Total;4493546.0
2023-12;Tourists Number (Overnight Visitors);Total;6484089.0
2023-01;Tourists Spending (SAR);Al Bahah;32259515.85
2023-02;Tourists Spending (SAR);Al Bahah;44424048.12
2022-04;Tourists Spending (SAR);Al Bahah;61416722.79
2022-06;Tourists Spending (SAR);Al Bahah;25895176.97
2022-08;Tourists Spending (SAR);Al Bahah;170320838.87
2022-10;Tourists Spending (SAR);Al Bahah;40754130.06
2023-10;Tourists Spending (SAR);Al Bahah;46273684.65
2023-03;Tourists Spending (SAR);AlQassim;385995850.9
2021-05;Tourists Spending (SAR);AlQassim;509212357.01
2021-06;Tourists Spending (SAR);AlQassim;254932378.37
2021-07;Tourists Spending (SAR);AlQassim;533813219.12
2023-07;Tourists Spending (SAR);AlQassim;545137601.48
2021-10;Tourists Spending (SAR);AlQassim;219156493.55
2023-10;Tourists Spending (SAR);AlQassim;559250754.81
2021-11;Tourists Spending (SAR);AlQassim;427642996.12
2023-01;Tourists Spending (SAR);Aseer;628210473.23
2021-02;Tourists Spending (SAR);Aseer;444756392.35
2022-02;Tourists Spending (SAR);Aseer;416727696.1
2023-02;Tourists Spending (SAR);Aseer;651126650.17
2022-04;Tourists Spending (SAR);Aseer;444559617.14
2023-04;Tourists Spending (SAR);Aseer;735947550.38
2021-05;Tourists Spending (SAR);Aseer;1051940457.25
2022-05;Tourists Spending (SAR);Aseer;571637076.45
2023-05;Tourists Spending (SAR);Aseer;469044608.9
2022-06;Tourists Spending (SAR);Aseer;357357039.61
2022-07;Tourists Spending (SAR);Aseer;2429069024.9
2022-09;Tourists Spending (SAR);Aseer;281613917.21
2021-12;Tourists Spending (SAR);Aseer;330629269.14
2021-01;Tourists Spending (SAR);Eastern Province;1454036673.15
2022-04;Tourists Spending (SAR);Eastern Province;797590403.87
2023-04;Tourists Spending (SAR);Eastern Province;1481223649.1
2021-05;Tourists Spending (SAR);Eastern Province;1634264237.54
2021-06;Tourists Spending (SAR);Eastern Province;1131424123.91
2021-08;Tourists Spending (SAR);Eastern Province;1177513215.46
2022-08;Tourists Spending (SAR);Eastern Province;1055113415.43
2022-02;Tourists Spending (SAR);Hail;260029504.76
2023-02;Tourists Spending (SAR);Hail;178383095.16
2021-03;Tourists Spending (SAR);Hail;151748474.01
2022-03;Tourists Spending (SAR);Hail;288303941.31
2023-03;Tourists Spending (SAR);Hail;243875162.53
2022-05;Tourists Spending (SAR);Hail;282932204.14
2023-06;Tourists Spending (SAR);Hail;369684068.35
2022-07;Tourists Spending (SAR);Hail;928571708.61
2021-08;Tourists Spending (SAR);Hail;205514019.03
2022-08;Tourists Spending (SAR);Hail;751781896.04
2023-08;Tourists Spending (SAR);Hail;166100533.99
2022-09;Tourists Spending (SAR);Hail;167667225.48
2023-09;Tourists Spending (SAR);Hail;303571791.41
2021-10;Tourists Spending (SAR);Hail;236874868.88
2022-11;Tourists Spending (SAR);Hail;219405803.83
2021-04;Tourists Spending (SAR);Jazan;115673926.66
2023-04;Tourists Spending (SAR);Jazan;286632691.95
2022-05;Tourists Spending (SAR);Jazan;140743319.82
2023-05;Tourists Spending (SAR);Jazan;104607087.61
2021-06;Tourists Spending (SAR);Jazan;231109621.26
2023-06;Tourists Spending (SAR);Jazan;267506903.56
2022-07;Tourists Spending (SAR);Jazan;283376690.44
2022-12;Tourists Spending (SAR);Jazan;80895622.63
2021-02;Tourists Spending (SAR);Jouf;107897398.13
2021-03;Tourists Spending (SAR);Jouf;100469590.26
2022-08;Tourists Spending (SAR);Jouf;401196906.75
2023-08;Tourists Spending (SAR);Jouf;103321666.85
2022-09;Tourists Spending (SAR);Jouf;95193961.17
2022-12;Tourists Spending (SAR);Jouf;49775151.48
2021-01;Tourists Spending (SAR);Madinah;542021351.54
2022-03;Tourists Spending (SAR);Madinah;520032074.37
2023-03;Tourists Spending (SAR);Madinah;646830190.55
2021-05;Tourists Spending (SAR);Madinah;675157503.87
2022-07;Tourists Spending (SAR);Madinah;1226082726.53
2023-07;Tourists Spending (SAR);Madinah;439188406.43
2022-09;Tourists Spending (SAR);Madinah;344665592.21
2021-10;Tourists Spending (SAR);Madinah;443142507.57
2022-10;Tourists Spending (SAR);Madinah;356269073.37
2021-01;Tourists Spending (SAR);Makkah;2538304764.07
2022-01;Tourists Spending (SAR);Makkah;2889864033.47
2021-03;Tourists Spending (SAR);Makkah;1769758288.9
2022-03;Tourists Spending (SAR);Makkah;2535957367.73
2023-03;Tourists Spending (SAR);Makkah;2864291013.47
2022-05;Tourists Spending (SAR);Makkah;2726102856.28
2021-06;Tourists Spending (SAR);Makkah;1902252903.65
2022-06;Tourists Spending (SAR);Makkah;1525397237.89
2022-08;Tourists Spending (SAR);Makkah;2891239073.21
2023-08;Tourists Spending (SAR);Makkah;2159581462.75
2021-09;Tourists Spending (SAR);Makkah;1968990309.17
2023-09;Tourists Spending (SAR);Makkah;1933728733.18
2023-10;Tourists Spending (SAR);Makkah;1707396135.48
2021-02;Tourists Spending (SAR);Najran;143865584.74
2023-03;Tourists Spending (SAR);Najran;141789560.81
2021-05;Tourists Spending (SAR);Najran;154629807.99
2023-07;Tourists Spending (SAR);Najran;111713419.44
2022-08;Tourists Spending (SAR);Najran;193997182.59
2023-08;Tourists Spending (SAR);Najran;94008944.96
2022-12;Tourists Spending (SAR);Najran;83654699.45
2022-01;Tourists Spending (SAR);Northern Borders;299886586.69
2023-02;Tourists Spending (SAR);Northern Borders;176718788.27
2021-05;Tourists Spending (SAR);Northern Borders;216485217.2
2021-07;Tourists Spending (SAR);Northern Borders;294895449.36
2021-11;Tourists Spending (SAR);Northern Borders;168222073.15
2021-12;Tourists Spending (SAR);Northern Borders;91230528.7
2023-06;Tourists Spending (SAR);Riyadh;2273401953.97
2023-07;Tourists Spending (SAR);Riyadh;2438841377.82
2023-08;Tourists Spending (SAR);Riyadh;2072123481.4
2022-09;Tourists Spending (SAR);Riyadh;1428693961.77
2022-11;Tourists Spending (SAR);Riyadh;2508875563.52
2023-02;Tourists Spending (SAR);Tabuk;272232632.36
2022-03;Tourists Spending (SAR);Tabuk;396467517.69
2023-03;Tourists Spending (SAR);Tabuk;334596504.72
2021-05;Tourists Spending (SAR);Tabuk;421957684.67
2022-06;Tourists Spending (SAR);Tabuk;432669681.76
2022-09;Tourists Spending (SAR);Tabuk;228139593.04
2021-10;Tourists Spending (SAR);Tabuk;375830818.75
2023-10;Tourists Spending (SAR);Tabuk;333798787.65
2021-03;Tourists Spending (SAR);Total;6682252196.96
2023-03;Tourists Spending (SAR);Total;9743488742.19
2021-04;Tourists Spending (SAR);Total;6950425772.8
2021-05;Tourists Spending (SAR);Total;11447807627.25
2021-09;Tourists Spending (SAR);Total;6145289804.27
2021-11;Tourists Spending (SAR);Total;11018353935.67
2023-02;Tourists Number (Overnight Visitors);Al Bahah;30045.0
2021-03;Tourists Number (Overnight Visitors);Al Bahah;64736.0
2021-04;Tourists Number (Overnight Visitors);Al Bahah;55486.0
2021-07;Tourists Number (Overnight Visitors);Al Bahah;261898.0
2021-10;Tourists Number (Overnight Visitors);Al Bahah;68976.0
2023-10;Tourists Number (Overnight Visitors);Al Bahah;40069.0
2023-12;Tourists Number (Overnight Visitors);Al Bahah;43725.0
2023-01;Tourists Number (Overnight Visitors);AlQassim;279751.0
2023-02;Tourists Number (Overnight Visitors);AlQassim;438099.0
2023-04;Tourists Number (Overnight Visitors);AlQassim;573190.0
2023-05;Tourists Number (Overnight Visitors);AlQassim;239156.0
2022-07;Tourists Number (Overnight Visitors);AlQassim;541155.0
2021-08;Tourists Number (Overnight Visitors);AlQassim;287146.0
2023-10;Tourists Number (Overnight Visitors);AlQassim;321187.0
2021-05;Tourists Number (Overnight Visitors);Aseer;593132.0
2021-06;Tourists Number (Overnight Visitors);Aseer;473945.0
2021-07;Tourists Number (Overnight Visitors);Aseer;1026884.0
2022-07;Tourists Number (Overnight Visitors);Aseer;1498079.0
2023-09;Tourists Number (Overnight Visitors);Aseer;470275.0
2022-10;Tourists Number (Overnight Visitors);Aseer;336924.0
2021-02;Tourists Number (Overnight Visitors);Eastern Province;745978.0
2022-02;Tourists Number (Overnight Visitors);Eastern Province;1044118.0
2022-04;Tourists Number (Overnight Visitors);Eastern Province;878705.0
