,Indicator,Province,Value,year,month
474,Tourists Number (Overnight Visitors),Riyadh,1180665.0,2023,03
475,Tourists Number (Overnight Visitors),Riyadh,719255.0,2021,06
476,Tourists Number (Overnight Visitors),Riyadh,874637.0,2021,08
477,Tourists Number (Overnight Visitors),Riyadh,1449446.0,2023,08
478,Tourists Number (Overnight Visitors),Riyadh,1476108.0,2023,10
479,Tourists Number (Overnight Visitors),Riyadh,1765195.0,2023,11
480,Tourists Number (Overnight Visitors),Tabuk,302175.0,2022,01
481,Tourists Number (Overnight Visitors),Tabuk,191408.0,2023,01
482,Tourists Number (Overnight Visitors),Tabuk,188411.0,2023,05
483,Tourists Number (Overnight Visitors),Tabuk,286800.0,2023,06
484,Tourists Number (Overnight Visitors),Tabuk,243386.0,2021,07
485,Tourists Number (Overnight Visitors),Tabuk,361227.0,2022,07
486,Tourists Number (Overnight Visitors),Tabuk,310732.0,2023,07
487,Tourists Number (Overnight Visitors),Tabuk,191278.0,2021,08
488,Tourists Number (Overnight Visitors),Tabuk,246464.0,2022,08
489,Tourists Number (Overnight Visitors),Tabuk,226492.0,2023,09
490,Tourists Number (Overnight Visitors),Tabuk,217907.0,2021,10
491,Tourists Number (Overnight Visitors),Tabuk,176982.0,2022,10
492,Tourists Number (Overnight Visitors),Total,7675160.0,2022,01
493,Tourists Number (Overnight Visitors),Total,5607637.0,2023,02
494,Tourists Number (Overnight Visitors),Total,6881296.0,2023,04
495,Tourists Number (Overnight Visitors),Total,4032787.0,2022,06
496,Tourists Number (Overnight Visitors),Total,9547860.0,2023,06
497,Tourists Number (Overnight Visitors),Total,7533351.0,2021,07
498,Tourists Number (Overnight Visitors),Total,8220327.0,2023,11
499,Tourists Spending (SAR),Al Bahah,59269366.14,2022,01
500,Tourists Spending (SAR),Al Bahah,89759209.56,2021,03
501,Tourists Spending (SAR),Al Bahah,39359204.82,2022,03
502,Tourists Spending (SAR),Al Bahah,59309281.1,2023,03
503,Tourists Spending (SAR),Al Bahah,68818934.49,2022,05
504,Tourists Spending (SAR),Al Bahah,333593080.01,2023,06
505,Tourists Spending (SAR),Al Bahah,387767473.2,2021,07
506,Tourists Spending (SAR),Al Bahah,187698315.62,2021,08
507,Tourists Spending (SAR),Al Bahah,28262940.47,2022,11
508,Tourists Spending (SAR),AlQassim,278059083.9,2021,04
509,Tourists Spending (SAR),AlQassim,692933820.6,2023,04
510,Tourists Spending (SAR),AlQassim,340903072.14,2021,08
511,Tourists Spending (SAR),AlQassim,269280241.79,2023,09
512,Tourists Spending (SAR),AlQassim,199908269.89,2022,10
513,Tourists Spending (SAR),AlQassim,497989963.63,2023,11
514,Tourists Spending (SAR),Aseer,612299888.69,2021,01
515,Tourists Spending (SAR),Aseer,1076787743.68,2021,08
516,Tourists Spending (SAR),Aseer,992414282.85,2022,08
517,Tourists Spending (SAR),Aseer,379636960.17,2021,10
518,Tourists Spending (SAR),Aseer,725467903.48,2023,10
519,Tourists Spending (SAR),Aseer,383555810.61,2022,11
520,Tourists Spending (SAR),Aseer,308735618.1,2022,12
521,Tourists Spending (SAR),Eastern Province,1240385349.89,2021,02
522,Tourists Spending (SAR),Eastern Province,1423126473.49,2023,03
523,Tourists Spending (SAR),Eastern Province,1281479060.72,2023,05
524,Tourists Spending (SAR),Eastern Province,1404267760.19,2023,10
525,Tourists Spending (SAR),Hail,150694084.82,2021,04
526,Tourists Spending (SAR),Hail,282337931.5,2023,04
527,Tourists Spending (SAR),Hail,158954442.91,2023,05
528,Tourists Spending (SAR),Hail,164885268.23,2021,06
529,Tourists Spending (SAR),Hail,155808748.32,2021,09
530,Tourists Spending (SAR),Hail,148016943.73,2022,10
531,Tourists Spending (SAR),Hail,182639236.02,2023,10
532,Tourists Spending (SAR),Hail,233608853.23,2023,12
533,Tourists Spending (SAR),Jazan,311532939.18,2021,01
534,Tourists Spending (SAR),Jazan,333205738.58,2022,01
535,Tourists Spending (SAR),Jazan,201216460.26,2021,02
536,Tourists Spending (SAR),Jazan,221259115.97,2022,02
537,Tourists Spending (SAR),Jazan,154928434.33,2022,03
538,Tourists Spending (SAR),Jazan,193868353.36,2021,10
539,Tourists Spending (SAR),Jazan,120755065.28,2022,11
540,Tourists Spending (SAR),Jouf,131689080.81,2023,01
541,Tourists Spending (SAR),Jouf,149182207.25,2023,02
542,Tourists Spending (SAR),Jouf,140012221.2,2023,03
543,Tourists Spending (SAR),Jouf,169317500.31,2021,05
544,Tourists Spending (SAR),Jouf,231549026.08,2022,06
545,Tourists Spending (SAR),Jouf,266797157.07,2021,07
546,Tourists Spending (SAR),Jouf,95862197.15,2021,09
547,Tourists Spending (SAR),Jouf,142314923.47,2023,10
548,Tourists Spending (SAR),Jouf,96786640.3,2022,11
549,Tourists Spending (SAR),Jouf,190255766.73,2023,11
550,Tourists Spending (SAR),Madinah,342078235.71,2021,02
551,Tourists Spending (SAR),Madinah,625592259.08,2022,02
552,Tourists Spending (SAR),Madinah,585522793.09,2023,04
553,Tourists Spending (SAR),Madinah,633968863.46,2022,05
554,Tourists Spending (SAR),Madinah,653182131.32,2021,07
555,Tourists Spending (SAR),Madinah,712499087.48,2022,08
556,Tourists Spending (SAR),Madinah,406987207.2,2023,10
557,Tourists Spending (SAR),Madinah,533460099.0,2022,11
558,Tourists Spending (SAR),Makkah,2405311237.6,2022,02
559,Tourists Spending (SAR),Makkah,2277884017.71,2021,04
560,Tourists Spending (SAR),Makkah,5891430331.17,2023,06
561,Tourists Spending (SAR),Makkah,2714842737.56,2021,08
562,Tourists Spending (SAR),Makkah,1342439030.47,2022,09
563,Tourists Spending (SAR),Makkah,2175981158.96,2021,10
564,Tourists Spending (SAR),Makkah,1713005008.86,2023,12
565,Tourists Spending (SAR),Najran,165835677.29,2021,01
566,Tourists Spending (SAR),Najran,163502538.9,2023,01
567,Tourists Spending (SAR),Najran,77272333.32,2021,03
568,Tourists Spending (SAR),Najran,84276787.34,2022,03
569,Tourists Spending (SAR),Najran,71110193.4,2023,05
570,Tourists Spending (SAR),Najran,90375785.75,2021,06
571,Tourists Spending (SAR),Najran,126517583.75,2022,06
572,Tourists Spending (SAR),Najran,94133483.24,2021,09
573,Tourists Spending (SAR),Najran,221809465.55,2023,09
574,Tourists Spending (SAR),Najran,119751750.73,2021,11
575,Tourists Spending (SAR),Najran,150093324.61,2022,11
576,Tourists Spending (SAR),Najran,176600505.38,2021,12
577,Tourists Spending (SAR),Northern Borders,96313085.34,2021,03
578,Tourists Spending (SAR),Northern Borders,180779926.21,2023,03
579,Tourists Spending (SAR),Northern Borders,176358251.4,2022,04
580,Tourists Spending (SAR),Northern Borders,209774551.9,2022,05
581,Tourists Spending (SAR),Northern Borders,101826377.4,2021,06
582,Tourists Spending (SAR),Northern Borders,131892626.4,2022,06
583,Tourists Spending (SAR),Northern Borders,286359870.79,2023,06
584,Tourists Spending (SAR),Northern Borders,100742633.51,2022,09
585,Tourists Spending (SAR),Northern Borders,94840254.54,2022,10
586,Tourists Spending (SAR),Northern Borders,63029455.36,2022,12
587,Tourists Spending (SAR),Riyadh,2368349938.89,2022,02
588,Tourists Spending (SAR),Riyadh,1449650324.51,2022,04
589,Tourists Spending (SAR),Riyadh,1561498914.72,2023,04
590,Tourists Spending (SAR),Riyadh,1737077956.18,2022,10
591,Tourists Spending (SAR),Riyadh,2011119470.37,2021,12
592,Tourists Spending (SAR),Tabuk,342426713.19,2021,01
593,Tourists Spending (SAR),Tabuk,302364430.94,2023,01
594,Tourists Spending (SAR),Tabuk,503115818.58,2022,02
595,Tourists Spending (SAR),Tabuk,289108104.1,2021,03
596,Tourists Spending (SAR),Tabuk,384036822.83,2021,06
597,Tourists Spending (SAR),Tabuk,475582344.96,2023,07
598,Tourists Spending (SAR),Tabuk,393059530.27,2023,08
599,Tourists Spending (SAR),Tabuk,251237861.44,2023,09
600,Tourists Spending (SAR),Tabuk,265020531.68,2022,11
602,Tourists Spending (SAR),Total,6001153798.53,2022,06
604,Tourists Spending (SAR),Total,5232272873.4,2022,09
606,Tourists Spending (SAR),Total,4508348246.41,2022,12
607,Tourists Number (Overnight Visitors),Al Bahah,58295.0,2021,01
608,Tourists Number (Overnight Visitors),Al Bahah,53008.0,2023,03
609,Tourists Number (Overnight Visitors),Al Bahah,78339.0,2022,04
610,Tourists Number (Overnight Visitors),Al Bahah,265081.0,2023,06
611,Tourists Number (Overnight Visitors),Al Bahah,413843.0,2022,07
612,Tourists Number (Overnight Visitors),Al Bahah,249008.0,2023,07
613,Tourists Number (Overnight Visitors),Al Bahah,34420.0,2022,09
614,Tourists Number (Overnight Visitors),Al Bahah,62547.0,2023,09
615,Tourists Number (Overnight Visitors),AlQassim,276424.0,2021,04
616,Tourists Number (Overnight Visitors),AlQassim,397219.0,2022,04
617,Tourists Number (Overnight Visitors),AlQassim,232384.0,2022,06
618,Tourists Number (Overnight Visitors),AlQassim,304713.0,2023,08
619,Tourists Number (Overnight Visitors),AlQassim,280028.0,2021,10
620,Tourists Number (Overnight Visitors),AlQassim,454746.0,2023,11
621,Tourists Number (Overnight Visitors),AlQassim,258492.0,2022,12
622,Tourists Number (Overnight Visitors),Aseer,532636.0,2022,01
623,Tourists Number (Overnight Visitors),Aseer,540122.0,2023,01
624,Tourists Number (Overnight Visitors),Aseer,396562.0,2022,02
625,Tourists Number (Overnight Visitors),Aseer,365198.0,2022,03
626,Tourists Number (Overnight Visitors),Aseer,493968.0,2022,05
627,Tourists Number (Overnight Visitors),Aseer,363064.0,2021,10
628,Tourists Number (Overnight Visitors),Aseer,540670.0,2021,11
629,Tourists Number (Overnight Visitors),Aseer,383358.0,2021,12
630,Tourists Number (Overnight Visitors),Eastern Province,922493.0,2021,01
631,Tourists Number (Overnight Visitors),Eastern Province,1201506.0,2022,01
632,Tourists Number (Overnight Visitors),Eastern Province,780669.0,2021,03
633,Tourists Number (Overnight Visitors),Eastern Province,714622.0,2021,04
634,Tourists Number (Overnight Visitors),Eastern Province,1128741.0,2022,05
635,Tourists Number (Overnight Visitors),Eastern Province,598067.0,2021,06
636,Tourists Number (Overnight Visitors),Eastern Province,871073.0,2021,07
637,Tourists Number (Overnight Visitors),Eastern Province,1222664.0,2023,07
638,Tourists Number (Overnight Visitors),Eastern Province,1197714.0,2023,08
639,Tourists Number (Overnight Visitors),Eastern Province,606267.0,2021,09
640,Tourists Number (Overnight Visitors),Hail,163346.0,2022,02
641,Tourists Number (Overnight Visitors),Hail,225486.0,2022,04
642,Tourists Number (Overnight Visitors),Hail,163058.0,2023,04
643,Tourists Number (Overnight Visitors),Hail,112058.0,2021,06
644,Tourists Number (Overnight Visitors),Hail,241338.0,2023,06
645,Tourists Number (Overnight Visitors),Hail,116986.0,2022,09
646,Tourists Number (Overnight Visitors),Hail,107016.0,2022,10
647,Tourists Number (Overnight Visitors),Hail,232422.0,2021,11
648,Tourists Number (Overnight Visitors),Hail,203065.0,2022,11
649,Tourists Number (Overnight Visitors),Jazan,300939.0,2022,01
650,Tourists Number (Overnight Visitors),Jazan,208592.0,2021,02
651,Tourists Number (Overnight Visitors),Jazan,190129.0,2023,04
652,Tourists Number (Overnight Visitors),Jazan,152587.0,2022,05
653,Tourists Number (Overnight Visitors),Jazan,130252.0,2023,08
